coc_number,year,ard_ard,ard_pprn
AK-500,2015,2824705,1138309
AK-500,2016,2891188,1169576
AK-500,2017,2849941,1210110
AK-500,2018,2847097,1293735
AK-500,2019,3784364,1264986
AK-501,2015,807072,602107
AK-501,2016,738551,669635
AK-501,2017,738301,707296
AK-501,2018,776502,756772
AK-501,2019,790036,792338
AL-500,2015,8319846,5389558
AL-500,2016,8748112,5708402
AL-500,2017,8647184,6079332
AL-500,2018,9109238,6505662
AL-500,2019,9223098,6587951
AL-501,2015,3837513,2837441
AL-501,2016,3838133,2980527
AL-501,2017,3736133,3048353
AL-501,2018,3741586,3230092
AL-501,2019,3699553,3110886
AL-502,2015,570662,508761
AL-502,2016,485063,546277
AL-502,2017,452978,570142
AL-502,2018,447309,629035
AL-502,2019,419114,595732
AL-503,2015,843450,794884
AL-503,2016,729618,831625
AL-503,2017,678545,860324
AL-503,2018,650007,918363
AL-503,2019,636987,942862
AL-504,2015,2259796,1384157
AL-504,2016,2044284,1443665
AL-504,2017,2044284,1480062
AL-504,2018,1970964,1584359
AL-504,2019,1196145,1623396
AL-505,2015,0,857862
AL-506,2015,248367,358529
AL-506,2016,232472,364906
AL-506,2017,216199,375269
AL-506,2018,199627,400157
AL-506,2019,203299,400316
AL-507,2015,522843,3312798
AL-507,2016,821073,3451663
AL-507,2017,1044477,3576720
AL-507,2018,1104980,3952178
AL-507,2019,1066686,3699879
AR-500,2015,4016037,1540571
AR-500,2016,3289946,1593254
AR-500,2017,3157488,1610197
AR-500,2018,3107871,1722097
AR-500,2019,3076941,1680647
AR-501,2015,458463,905684
AR-501,2016,380278,966215
AR-501,2017,353659,1027245
AR-501,2018,345423,1106218
AR-501,2019,323438,1114200
AR-503,2015,443043,1760965
AR-503,2016,458168,1817440
AR-503,2017,426096,1901178
AR-503,2018,482867,2304663
AR-503,2019,308348,2300091
AR-504,2015,0,804715
AR-504,2017,0,871849
AR-504,2018,0,915278
AR-504,2019,0,867881
AR-505,2015,340591,737952
AR-505,2016,292022,750686
AR-505,2017,271580,787114
AR-505,2018,257589,844557
AR-505,2019,247942,847475
AR-508,2015,0,556694
AR-508,2016,0,604639
AR-512,2016,0,218738
AR-512,2017,0,232682
AS-500,2019,0,459338
AZ-500,2015,4216369,2793480
AZ-500,2016,3883936,3340318
AZ-500,2017,3883471,3517453
AZ-500,2018,3880375,3763471
AZ-500,2019,3912060,3821458
AZ-501,2015,8526226,5124218
AZ-501,2016,8172322,5588707
AZ-501,2017,8169802,5759691
AZ-501,2018,8395741,6157719
AZ-501,2019,8334299,6172731
AZ-502,2015,26196615,16700039
AZ-502,2016,24568339,17949992
AZ-502,2017,25313828,18851495
AZ-502,2018,25346823,20155725
AZ-502,2019,26505040,20654277
CA-500,2015,17285459,7434871
CA-500,2016,19009820,8074319
CA-500,2017,19543610,8484901
CA-500,2018,21883337,9072201
CA-500,2019,25405437,8861044
CA-501,2015,26911013,11192223
CA-501,2016,30631104,11952143
CA-501,2017,31486407,12420764
CA-501,2018,40532368,13279111
CA-501,2019,44862542,13293659
CA-502,2015,27273402,8993579
CA-502,2016,28293885,9495123
CA-502,2017,33272919,9940663
CA-502,2018,34329783,10628870
CA-502,2019,36618328,10619719
CA-503,2015,18635759,6592397
CA-503,2016,19146072,7333528
CA-503,2017,19367838,7717645
CA-503,2018,19599048,8251438
CA-503,2019,20327219,8352246
CA-504,2015,2936645,1497240
CA-504,2016,2997907,1634172
CA-504,2017,2986734,1708526
CA-504,2018,3222762,1826981
CA-504,2019,3624821,1837011
CA-505,2015,10651296,2892055
CA-505,2016,10786719,3116312
CA-505,2017,12753390,3739418
CA-505,2018,14234434,3998407
CA-505,2019,15430571,4170806
CA-506,2015,2166656,1826918
CA-506,2016,1908540,1969320
CA-506,2017,1908540,2070034
CA-506,2018,1802763,2217138
CA-506,2019,1786579,2225238
CA-507,2015,2846608,319504
CA-507,2016,3179036,345744
