coc_number,coc_name,year,ard_ard,ard_pprn
AK-500,Anchorage,2012,2898071,2898071
AK-500,Anchorage,2013,2996026,
AK-500,Anchorage,2014,2857673,1192319
AK-500,Anchorage,2015,2824705,1138309
AK-500,Anchorage,2016,2891188,1169576
AK-500,Anchorage,2017,2849941,1210110
AK-500,Anchorage,2018,2847097,1293735
AK-500,Anchorage,2019,3784364,1264986
AK-501,Alaska Balance of State,2012,823280,823280
AK-501,Alaska Balance of State,2013,861769,
AK-501,Alaska Balance of State,2014,819605,541342
AK-501,Alaska Balance of State,2015,807072,602107
AK-501,Alaska Balance of State,2016,738551,669635
AK-501,Alaska Balance of State,2017,738301,707296
AK-501,Alaska Balance of State,2018,776502,756772
AK-501,Alaska Balance of State,2019,790036,792338
AL-500,"Birmingham,Jefferson, St. Clair, Shelby Counties",2012,8770255,8770255
AL-500,"Birmingham,Jefferson, St. Clair, Shelby Counties",2013,8795799,
AL-500,"Birmingham,Jefferson, St. Clair, Shelby Counties",2014,8121784,5473970
AL-500,"Birmingham,Jefferson, St. Clair, Shelby Counties",2015,8319846,5389558
AL-500,"Birmingham,Jefferson, St. Clair, Shelby Counties",2016,8748112,5708402
AL-500,"Birmingham,Jefferson, St. Clair,Shelby Counties",2017,8647184,6079332
AL-500,"Birmingham,Jefferson, St.Clair, Shelby Counties",2018,9109238,6505662
AL-500,"Birmingham,Jefferson, St. Clair, Shelby Counties",2019,9223098,6587951
AL-501,"Mobile City & County,Baldwin County",2012,3549619,3549619
AL-501,"Mobile City & County,Baldwin County",2013,3813075,
AL-501,"Mobile City & County,Baldwin County",2014,3836101,2899632
AL-501,"Mobile City & County,Baldwin County",2015,3837513,2837441
AL-501,"Mobile City & County,Baldwin County",2016,3838133,2980527
AL-501,"Mobile City & County,Baldwin County",2017,3736133,3048353
AL-501,"Mobile City & County,Baldwin County",2018,3741586,3230092
AL-501,"Mobile City & County,Baldwin County",2019,3699553,3110886
AL-502,"Florence,Northwest Alabama",2012,569005,569005
AL-502,"Florence,Northwest Alabama",2013,570132,
AL-502,"Florence,Northwest Alabama",2014,570254,474693
AL-502,"Florence,Northwest Alabama",2015,570662,508761
AL-502,"Florence,Northwest Alabama",2016,485063,546277
AL-502,"Florence,Northwest Alabama",2017,452978,570142
AL-502,"Florence,Northwest Alabama",2018,447309,629035
AL-502,"Florence,Northwest Alabama",2019,419114,595732
AL-503,"Huntsville,North Alabama",2012,913672,913672
AL-503,"Huntsville,North Alabama",2013,898889,
AL-503,"Huntsville,North Alabama",2014,839465,640953
AL-503,"Huntsville,North Alabama",2015,843450,794884
AL-503,"Huntsville,North Alabama",2016,729618,831625
AL-503,"Huntsville,North Alabama",2017,678545,860324
AL-503,"Huntsville,North Alabama",2018,650007,918363
AL-503,"Huntsville,North Alabama",2019,636987,942862
AL-504,Montgomery City & County,2012,2186575,2186575
AL-504,Montgomery City & County,2013,2313181,
AL-504,Montgomery City & County,2014,2135398,1363104
AL-504,Montgomery City & County,2015,2259796,1384157
AL-504,Montgomery City & County,2016,2044284,1443665
AL-504,Montgomery City & County,2017,2044284,1480062
AL-504,Montgomery City & County,2018,1970964,1584359
AL-504,Montgomery City & County,2019,1196145,1623396
AL-505,"Gadsden,Northeast Alabama",2012,29855,720635
AL-505,"Gadsden,Northeast Alabama",2013,28810,
AL-505,"Gadsden,Northeast Alabama",2014,0,827534
AL-505,"Gadsden,Northeast Alabama",2015,0,857862
AL-506,Tuscaloosa City & County,2012,136509,295017
AL-506,Tuscaloosa City & County,2013,468087,
AL-506,Tuscaloosa City & County,2014,273711,346596
AL-506,Tuscaloosa City & County,2015,248367,358529
AL-506,Tuscaloosa City & County,2016,232472,364906
AL-506,Tuscaloosa City & County,2017,216199,375269
AL-506,Tuscaloosa City & County,2018,199627,400157
AL-506,Tuscaloosa City & County,2019,203299,400316
AL-507,Alabama Balance of State,2012,766403,2968577
AL-507,Alabama Balance of State,2013,1226836,
AL-507,Alabama Balance of State,2014,686632,3259285
AL-507,Alabama Balance of State,2015,522843,3312798
AL-507,Alabama Balance of State,2016,821073,3451663
AL-507,Alabama Balance of State,2017,1044477,3576720
AL-507,Alabama Balance of State,2018,1104980,3952178
AL-507,Alabama Balance of State,2019,1066686,3699879
AR-500,"Little Rock,Central Arkansas",2012,3560682,3560682
AR-500,"Little Rock,Central Arkansas",2013,3956720,
AR-500,"Little Rock,Central Arkansas",2014,3994911,1527291
AR-500,"Little Rock,Central Arkansas",2015,4016037,1540571
AR-500,"Little Rock,Central Arkansas",2016,3289946,1593254
AR-500,"Little Rock,Central Arkansas",2017,3157488,1610197
AR-500,"Little Rock,Central Arkansas",2018,3107871,1722097
AR-500,"Little Rock,Central Arkansas",2019,3076941,1680647
AR-501,"Fayetteville,Northwest Arkansas",2012,260697,666717
AR-501,"Fayetteville,Northwest Arkansas",2013,181197,
AR-501,"Fayetteville,Northwest Arkansas",2014,222286,863220
AR-501,"Fayetteville,Northwest Arkansas",2015,458463,905684
AR-501,"Fayetteville,Northwest Arkansas",2016,380278,966215
AR-501,"Fayetteville,Northwest Arkansas",2017,353659,1027245
AR-501,"Fayetteville,Northwest Arkansas",2018,345423,1106218
AR-501,"Fayetteville,Northwest Arkansas",2019,323438,1114200
AR-503,Arkansas Balance of State,2012,255651,1953117
