year,coc_number,coc_name
2012,AK-500,Anchorage
2013,AK-500,Anchorage
2014,AK-500,Anchorage
2015,AK-500,Anchorage
2016,AK-500,Anchorage
2017,AK-500,Anchorage
2018,AK-500,Anchorage
2019,AK-500,Anchorage
2012,AK-501,Alaska Balance of State
2013,AK-501,Alaska Balance of State
2014,AK-501,Alaska Balance of State
2015,AK-501,Alaska Balance of State
2016,AK-501,Alaska Balance of State
2017,AK-501,Alaska Balance of State
2018,AK-501,Alaska Balance of State
2019,AK-501,Alaska Balance of State
2012,AL-500,"Birmingham,Jefferson, St. Clair, Shelby Counties"
2013,AL-500,"Birmingham,Jefferson, St. Clair, Shelby Counties"
2014,AL-500,"Birmingham,Jefferson, St. Clair, Shelby Counties"
2015,AL-500,"Birmingham,Jefferson, St. Clair, Shelby Counties"
2016,AL-500,"Birmingham,Jefferson, St. Clair, Shelby Counties"
2017,AL-500,"Birmingham,Jefferson, St. Clair,Shelby Counties"
2018,AL-500,"Birmingham,Jefferson, St.Clair, Shelby Counties"
2019,AL-500,"Birmingham,Jefferson, St. Clair, Shelby Counties"
2012,AL-501,"Mobile City & County,Baldwin County"
2013,AL-501,"Mobile City & County,Baldwin County"
2014,AL-501,"Mobile City & County,Baldwin County"
2015,AL-501,"Mobile City & County,Baldwin County"
2016,AL-501,"Mobile City & County,Baldwin County"
2017,AL-501,"Mobile City & County,Baldwin County"
2018,AL-501,"Mobile City & County,Baldwin County"
2019,AL-501,"Mobile City & County,Baldwin County"
2012,AL-502,"Florence,Northwest Alabama"
2013,AL-502,"Florence,Northwest Alabama"
2014,AL-502,"Florence,Northwest Alabama"
2015,AL-502,"Florence,Northwest Alabama"
2016,AL-502,"Florence,Northwest Alabama"
2017,AL-502,"Florence,Northwest Alabama"
2018,AL-502,"Florence,Northwest Alabama"
2019,AL-502,"Florence,Northwest Alabama"
2012,AL-503,"Huntsville,North Alabama"
2013,AL-503,"Huntsville,North Alabama"
2014,AL-503,"Huntsville,North Alabama"
2015,AL-503,"Huntsville,North Alabama"
2016,AL-503,"Huntsville,North Alabama"
2017,AL-503,"Huntsville,North Alabama"
2018,AL-503,"Huntsville,North Alabama"
2019,AL-503,"Huntsville,North Alabama"
2012,AL-504,Montgomery City & County
2013,AL-504,Montgomery City & County
2014,AL-504,Montgomery City & County
2015,AL-504,Montgomery City & County
2016,AL-504,Montgomery City & County
2017,AL-504,Montgomery City & County
2018,AL-504,Montgomery City & County
2019,AL-504,Montgomery City & County
2012,AL-505,"Gadsden,Northeast Alabama"
2013,AL-505,"Gadsden,Northeast Alabama"
2014,AL-505,"Gadsden,Northeast Alabama"
2015,AL-505,"Gadsden,Northeast Alabama"
2012,AL-506,Tuscaloosa City & County
2013,AL-506,Tuscaloosa City & County
2014,AL-506,Tuscaloosa City & County
2015,AL-506,Tuscaloosa City & County
2016,AL-506,Tuscaloosa City & County
2017,AL-506,Tuscaloosa City & County
2018,AL-506,Tuscaloosa City & County
2019,AL-506,Tuscaloosa City & County
2012,AL-507,Alabama Balance of State
2013,AL-507,Alabama Balance of State
2014,AL-507,Alabama Balance of State
2015,AL-507,Alabama Balance of State
2016,AL-507,Alabama Balance of State
2017,AL-507,Alabama Balance of State
2018,AL-507,Alabama Balance of State
2019,AL-507,Alabama Balance of State
2012,AR-500,"Little Rock,Central Arkansas"
2013,AR-500,"Little Rock,Central Arkansas"
2014,AR-500,"Little Rock,Central Arkansas"
2015,AR-500,"Little Rock,Central Arkansas"
2016,AR-500,"Little Rock,Central Arkansas"
2017,AR-500,"Little Rock,Central Arkansas"
2018,AR-500,"Little Rock,Central Arkansas"
2019,AR-500,"Little Rock,Central Arkansas"
2012,AR-501,"Fayetteville,Northwest Arkansas"
2013,AR-501,"Fayetteville,Northwest Arkansas"
2014,AR-501,"Fayetteville,Northwest Arkansas"
2015,AR-501,"Fayetteville,Northwest Arkansas"
2016,AR-501,"Fayetteville,Northwest Arkansas"
2017,AR-501,"Fayetteville,Northwest Arkansas"
2018,AR-501,"Fayetteville,Northwest Arkansas"
2019,AR-501,"Fayetteville,Northwest Arkansas"
2012,AR-503,Arkansas Balance of State
2013,AR-503,"Mississippi, Phillips Counties"
2014,AR-503,Arkansas Balance of State
2015,AR-503,Arkansas Balance of State
2016,AR-503,Arkansas Balance of State
2017,AR-503,Arkansas Balance of State
2018,AR-503,Arkansas Balance of State
2019,AR-503,Arkansas Balance of State
2012,AR-504,Delta Hills
2013,AR-504,Delta Hills
2015,AR-504,Delta Hills
2017,AR-504,Delta Hills
2018,AR-504,Delta Hills
2019,AR-504,Delta Hills
2012,AR-505,Southeast Arkansas
2013,AR-505,Southeast Arkansas
2014,AR-505,Southeast Arkansas
2015,AR-505,Southeast Arkansas
2016,AR-505,Southeast Arkansas
