year,coc_number,caa_coc_award_amount
2018,NY-500,12149041
2018,NY-501,1663858
2018,NY-503,5515353
2018,NV-500,13840004
2018,NV-501,1614116
2018,NV-502,581052
2018,NY-508,11707490
2018,NY-510,203613
2018,NY-511,1599683
2018,NY-504,265179
2018,NY-505,9218019
2018,NY-507,3939164
2018,NJ-510,572175
2018,NJ-511,4433770
2018,NJ-512,132928
2018,NJ-507,3013036
2018,NJ-508,3514252
2018,NJ-509,1887565
2018,NJ-516,1218262
2018,NM-500,5409952
2018,NM-501,5465369
2018,NJ-513,385708
2018,NJ-514,4216090
2018,NJ-515,4170723
2018,NY-512,3433031
2018,NY-608,1201623
2018,OH-500,18972085
2018,OH-501,3784007
2018,NY-604,18656370
2018,NY-606,852336
2018,NY-607,285424
2018,OH-505,10052718
2018,OH-506,4683126
2018,OH-507,18607836
2018,OH-502,27762915
2018,OH-503,12419684
2018,OH-504,1832654
2018,NY-518,3152035
2018,NY-519,450819
2018,NY-520,79733
2018,NY-513,305840
2018,NY-514,199474
2018,NY-516,138546
2018,NY-601,1334693
2018,NY-602,2632451
2018,NY-603,12716632
2018,NY-522,1256743
2018,NY-523,1676117
2018,NY-600,116333916
2018,MO-602,609142
2018,MO-603,1393131
2018,MO-604,13142804
2018,MO-501,12104511
2018,MO-503,365982
2018,MO-600,1045226
2018,MS-501,2620666
2018,MS-503,799342
2018,MT-500,2608739
2018,MO-606,4779809
2018,MP-500,14244
2018,MS-500,1368126
2018,MN-502,2166612
2018,MN-503,3753553
2018,MN-504,447383
2018,MI-523,967000
2018,MN-500,12598613
2018,MN-501,6793227
2018,MN-509,3181358
2018,MN-511,1077534
2018,MO-500,1929953
2018,MN-505,1542175
2018,MN-506,715845
2018,MN-508,839395
2018,NC-500,2225764
2018,NH-500,4081308
2018,NH-501,1499438
2018,NH-502,1882236
2018,NE-500,1965426
2018,NE-501,4556397
2018,NE-502,2304944
2018,NJ-503,3558094
2018,NJ-504,6149940
2018,NJ-506,6967659
2018,NJ-500,521875
2018,NJ-501,5167909
2018,NJ-502,500610
2018,NC-504,1839604
2018,NC-505,3953290
2018,NC-506,673584
2018,NC-501,1238651
2018,NC-502,1415325
2018,NC-503,8584177
2018,NC-513,680285
2018,NC-516,338633
2018,ND-500,1823945
2018,NC-507,3339951
2018,NC-509,770787
2018,NC-511,703004
2018,VA-500,4602701
2018,VA-501,3756604
2018,VA-502,845410
2018,UT-500,7673145
2018,UT-503,1754589
2018,UT-504,1147953
2018,VA-507,1165879
2018,VA-508,358375
2018,VA-513,350712
2018,VA-503,1808963
2018,VA-504,369350
2018,VA-505,1955738
2018,TX-600,16036168
2018,TX-601,12948740
2018,TX-603,2934381
2018,TN-512,496317
2018,TX-500,9399583
2018,TX-503,6608658
2018,TX-624,312823
2018,TX-700,37161187
2018,TX-701,298095
2018,TX-604,993384
2018,TX-607,6200551
2018,TX-611,557566
2018,VA-514,308411
2018,WI-500,10070318
2018,WI-501,10258562
2018,WI-502,929486
2018,WA-503,3342656
2018,WA-504,9634176
2018,WA-508,1892077
2018,WV-503,1291741
2018,WV-508,4249601
2018,WY-500,258220
2018,WI-503,3478545
2018,WV-500,403829
2018,WV-501,2581428
2018,VA-602,181940
2018,VA-603,843038
2018,VA-604,669422
2018,VA-521,952640
