year,coc_number,cen_population_estimate,cen_population_density
2010,AZ-500,1600930,20.00563479812308
2011,AZ-500,1610025,20.131228488084613
2012,AZ-500,1615189,20.16976882529231
2013,AZ-500,1618543,20.192560217661537
2014,AZ-500,1633657,20.384846508076926
2015,AZ-500,1648810,20.57018330706154
2016,AZ-500,1669225,20.811003296076926
2017,AZ-500,1691794,21.09635929426923
2018,AZ-500,1721749,21.45032269323077
2010,AZ-502,3825191,415.81548624
2011,AZ-502,3875065,421.23701462
2012,AZ-502,3948225,429.18983605
2013,AZ-502,4019019,436.88546263
2014,AZ-502,4095508,445.20016136
2015,AZ-502,4175049,453.84662622
2016,AZ-502,4258603,462.92932226
2017,AZ-502,4329580,470.64484177
2018,AZ-502,4410824,479.4764304
2010,AZ-501,981653,106.84980866
2011,AZ-501,988407,107.58496009
2012,AZ-501,993215,108.10829561
2013,AZ-501,997437,108.56784689
2014,AZ-501,1004675,109.35568018
2015,AZ-501,1009737,109.90666279
2016,AZ-501,1017624,110.76513767
2017,AZ-501,1027502,111.84032657
2018,AZ-501,1039073,113.09979314
2010,DE-500,899595,584.4344659166667
2011,DE-500,907316,588.9667060500001
2012,DE-500,915188,593.5116242733334
2013,DE-500,923638,598.3909396700001
2014,DE-500,932596,603.1488338
2015,DE-500,941413,607.8394662033334
2016,DE-500,949216,611.6588990066666
2017,DE-500,957078,615.2992219466666
2018,DE-500,967171,620.58303987
2010,DC-500,605085,9897.4297024
2011,DC-500,619602,10134.885576
2012,DC-500,634725,10382.253845
2013,DC-500,650431,10639.158298
2014,DC-500,662513,10836.784657
2015,DC-500,675254,11045.190339
2016,DC-500,686575,11230.368953
2017,DC-500,695691,11379.480184
2018,DC-500,702455,11490.11954
2010,HI-500,407667,73.848946965975
2011,HI-500,411965,74.64122392147499
2012,HI-500,416832,75.4959088019
2013,HI-500,422231,76.48758315065001
2014,HI-500,427213,77.33704608415
2015,HI-500,431145,77.96601116785
2016,HI-500,435413,78.64416228235001
2017,HI-500,437774,78.97996050735
2018,HI-500,440411,79.38722018384999
2010,HI-501,956296,1592.3298932
2011,HI-501,967287,1610.6310237
2012,HI-501,978073,1628.5908083
2013,HI-501,986222,1642.1597203
2014,HI-501,987649,1644.5358202
2015,HI-501,991339,1650.6800447
2016,HI-501,992692,1652.932927
2017,HI-501,986429,1642.5043964
2018,HI-501,980080,1631.932667
2010,ID-500,393350,373.90398233
2011,ID-500,401235,381.39917211
2012,ID-500,408930,388.71375491
2013,ID-500,416080,395.51028084
2014,ID-500,425540,404.50260745
2015,ID-500,433047,411.63848439
2016,ID-500,444824,422.83326563
2017,ID-500,456885,434.29800678
2018,ID-500,469966,446.73232225
2010,ID-501,1177423,27.15707253723256
2011,ID-501,1182593,27.313321996786048
2012,ID-501,1186511,27.433841960067447
2013,ID-501,1195450,27.700853745941863
2014,ID-501,1205939,27.991189881960462
2015,ID-501,1218476,28.32068929492558
2016,ID-501,1238106,28.814956012853482
2017,ID-501,1262019,29.375299051346506
2018,ID-501,1284242,29.91692179369768
2010,ME-500,1327632,90.59923633953127
2011,ME-500,1328150,90.63355949466876
2012,ME-500,1327691,90.685100966
2013,ME-500,1328196,90.77515001921873
2014,ME-500,1330760,91.08701934905
