coc_number,coc_name,year
AL-507,Alabama Balance of State,2017
AK-500,Anchorage,2017
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties",2017
AL-503,Huntsville/North Alabama,2017
AK-501,Alaska Balance of State,2017
AL-505,Gadsden/Northeast Alabama,2017
AL-501,Mobile City & County/Baldwin County,2017
AL-504,Montgomery City & County,2017
AL-502,Florence/Northwest Alabama,2017
AL-506,Tuscaloosa City & County,2017
AZ-502,"Phoenix, Mesa/Maricopa County",2017
AZ-500,Arizona Balance of State,2017
AZ-501,Tucson/Pima County,2017
IL-502,"Waukegan, North Chicago/Lake County",2017
MD-501,Baltimore,2017
AR-500,Little Rock/Central Arkansas,2017
AR-501,Fayetteville/Northwest Arkansas,2017
AR-503,Arkansas Balance of State,2017
AR-505,Southeast Arkansas,2017
AR-504,Delta Hills,2017
ND-500,North Dakota Statewide,2017
MI-500,Michigan Balance of State,2017
CA-608,Riverside City & County,2017
MN-504,Northeast Minnesota,2017
MN-505,St. Cloud/Central Minnesota,2017
CA-600,Los Angeles City & County,2017
CA-507,Marin County,2017
CA-524,Yuba City & County/Sutter County,2017
CA-515,"Roseville, Rocklin/Placer, Nevada Counties",2017
CA-609,San Bernardino City & County,2017
CA-502,"Oakland, Berkeley/Alameda County",2017
CA-514,Fresno City & County/Madera County,2017
CA-604,Bakersfield/Kern County,2017
CA-520,Merced City & County,2017
CA-504,"Santa Rosa, Petaluma/Sonoma County",2017
CA-513,"Visalia/Kings, Tulare Counties",2017
CA-503,Sacramento City & County,2017
CA-522,Humboldt County,2017
CA-601,San Diego City And County,2017
CA-508,Watsonville/Santa Cruz City & County,2017
CA-506,"Salinas/Monterey, San Benito Counties",2017
CA-511,Stockton/San Joaquin County,2017
CA-614,San Luis Obispo County,2017
CA-519,"Chico, Paradise/Butte County",2017
CA-510,"Turlock, Modesto/Stanislaus County",2017
CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties",2017
CA-603,Santa Maria/Santa Barbara County,2017
CA-611,"Oxnard, San Buenaventura/Ventura County",2017
CA-602,"Santa Ana, Anaheim/Orange County",2017
CA-505,Richmond/Contra Costa County,2017
CA-529,Lake County,2017
CA-530,"Alpine, Inyo, Mono Counties",2017
CA-500,"San Jose, Santa Clara City & County",2017
CA-526,"Tuolumne, Amador, Calaveras, Mariposa Counties",2017
CA-509,Mendocino County,2017
CA-512,Daly City/San Mateo County,2017
CA-518,Vallejo/Solano County,2017
CA-525,El Dorado County,2017
CA-613,Imperial County,2017
CA-517,Napa City & County,2017
CA-527,Tehama County,2017
CA-521,"Davis, Woodland/Yolo County",2017
CA-612,Glendale,2017
CA-606,Long Beach,2017
CA-607,Pasadena,2017
CA-501,San Francisco,2017
CO-500,Colorado Balance of State,2017
CO-503,Metropolitan Denver,2017
CO-504,Colorado Springs/El Paso County,2017
CT-505,Connecticut Balance of State,2017
CT-503,"Bridgeport, Stamford, Norwalk/Fairfield County",2017
DE-500,Delaware Statewide,2017
DC-500,District Of Columbia,2017
MD-600,Prince George'S County,2017
MD-503,Annapolis/Anne Arundel County,2017
FL-507,"Orlando/Orange, Osceola, Seminole Counties",2017
FL-508,"Gainesville/Alachua, Putnam Counties",2017
FL-515,"Panama City/Bay, Jackson Counties",2017
FL-513,"Palm Bay, Melbourne/Brevard County",2017
FL-601,Ft Lauderdale/Broward County,2017
FL-602,Punta Gorda/Charlotte County,2017
FL-520,"Citrus, Hernando, Lake, Sumter Counties",2017
FL-510,"Jacksonville-Duval, Clay Counties",2017
FL-606,Naples/Collier County,2017
FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties",2017
FL-600,Miami-Dade County,2017
FL-517,"Hendry, Hardee, Highlands Counties",2017
FL-511,"Pensacola/Escambia, Santa Rosa Counties",2017
FL-504,"Daytona Beach, Daytona/Volusia, Flagler Counties",2017
FL-506,Tallahassee/Leon County,2017
FL-501,Tampa/Hillsborough County,2017
FL-509,"Fort Pierce/St. Lucie, Indian River, Martin Counties",2017
FL-603,"Ft Myers, Cape Coral/Lee County",2017
FL-500,"Sarasota, Bradenton/Manatee, Sarasota Counties",2017
FL-514,Ocala/Marion County,2017
FL-604,Monroe County,2017
FL-505,"Fort Walton Beach/Okaloosa, Walton Counties",2017
FL-605,West Palm Beach/Palm Beach County,2017
FL-519,Pasco County,2017
FL-502,"St. Petersburg, Clearwater, Largo/Pinellas County",2017
FL-503,"Lakeland, Winterhaven/Polk County",2017
FL-512,St. Johns County,2017
GA-501,Georgia Balance of State,2017
GA-500,Atlanta,2017
