state_postal_code,county_name,county_fips_code,year,population_estimate,population_density,coc_number,bos_region
AL,Autauga County,1001,2010,54754,92.109643676,,
AL,Autauga County,1001,2011,55208,92.873382914,,
AL,Autauga County,1001,2012,54936,92.415812269,,
AL,Autauga County,1001,2013,54713,92.04067163,,
AL,Autauga County,1001,2014,54876,92.314877568,,
AL,Autauga County,1001,2015,54838,92.250952257,,
AL,Autauga County,1001,2016,55242,92.930579244,,
AL,Autauga County,1001,2017,55443,93.268710493,,
AL,Autauga County,1001,2018,55601,93.534505205,,
AL,Baldwin County,1003,2010,183111,115.17909328,,
AL,Baldwin County,1003,2011,186540,117.33597687,,
AL,Baldwin County,1003,2012,190143,119.60230862,,
AL,Baldwin County,1003,2013,194886,122.58571453,,
AL,Baldwin County,1003,2014,199189,125.29235497,,
AL,Baldwin County,1003,2015,202995,127.68637624,,
AL,Baldwin County,1003,2016,207712,130.65342783,,
AL,Baldwin County,1003,2017,212619,133.73999177,,
AL,Baldwin County,1003,2018,218022,137.13854588,,
AL,Barbour County,1005,2010,27330,30.881284864,,
AL,Barbour County,1005,2011,27350,30.903883682,,
AL,Barbour County,1005,2012,27174,30.705014083,,
AL,Barbour County,1005,2013,26944,30.445127675,,
AL,Barbour County,1005,2014,26758,30.234958668,,
AL,Barbour County,1005,2015,26294,29.710666089,,
AL,Barbour County,1005,2016,25819,29.17394416,,
AL,Barbour County,1005,2017,25158,28.427053224,,
AL,Barbour County,1005,2018,24881,28.114059594,,
AL,Bibb County,1007,2010,22872,36.744448846,,
AL,Bibb County,1007,2011,22747,36.543633171,,
AL,Bibb County,1007,2012,22664,36.410291563,,
AL,Bibb County,1007,2013,22516,36.172525805,,
AL,Bibb County,1007,2014,22541,36.21268894,,
AL,Bibb County,1007,2015,22562,36.246425973,,
AL,Bibb County,1007,2016,22576,36.268917328,,
AL,Bibb County,1007,2017,22555,36.235180295,,
AL,Bibb County,1007,2018,22400,35.986168859,,
AL,Blount County,1009,2010,57373,88.973734236,,
AL,Blount County,1009,2011,57554,89.254428045,,
AL,Blount County,1009,2012,57570,89.279240757,,
AL,Blount County,1009,2013,57611,89.342823333,,
AL,Blount County,1009,2014,57521,89.203251826,,
AL,Blount County,1009,2015,57522,89.20480262,,
AL,Blount County,1009,2016,57517,89.197048648,,
AL,Blount County,1009,2017,57827,89.67779495,,
AL,Blount County,1009,2018,57840,89.697955279,,
AL,Bullock County,1011,2010,10878,17.466122857,,
AL,Bullock County,1011,2011,10677,17.143389754,,
AL,Bullock County,1011,2012,10607,17.030995141,,
AL,Bullock County,1011,2013,10551,16.941079451,,
AL,Bullock County,1011,2014,10665,17.124122106,,
AL,Bullock County,1011,2015,10400,16.698628214,,
AL,Bullock County,1011,2016,10381,16.668121105,,
AL,Bullock County,1011,2017,10176,16.338965452,,
AL,Bullock County,1011,2018,10138,16.277951234,,
AL,Butler County,1013,2010,20942,26.957982352,,
AL,Butler County,1013,2011,20878,26.875597151,,
AL,Butler County,1013,2012,20687,26.629728818,,
AL,Butler County,1013,2013,20374,26.226813697,,
AL,Butler County,1013,2014,20343,26.186908365,,
AL,Butler County,1013,2015,20176,25.971934483,,
AL,Butler County,1013,2016,20029,25.782705975,,
AL,Butler County,1013,2017,19898,25.614073768,,
AL,Butler County,1013,2018,19680,25.333449178,,
AL,Calhoun County,1015,2010,118477,195.54934851,,
AL,Calhoun County,1015,2011,117797,194.42699095,,
AL,Calhoun County,1015,2012,117257,193.535707,,
AL,Calhoun County,1015,2013,116541,192.35393051,,
AL,Calhoun County,1015,2014,115995,191.45274341,,
AL,Calhoun County,1015,2015,115536,190.69515205,,
AL,Calhoun County,1015,2016,115018,189.84017967,,
AL,Calhoun County,1015,2017,114664,189.25589353,,
AL,Calhoun County,1015,2018,114277,188.61714004,,
AL,Chambers County,1017,2010,34122,57.197847249,,
AL,Chambers County,1017,2011,34030,57.043629972,,
AL,Chambers County,1017,2012,34104,57.167674303,,
AL,Chambers County,1017,2013,34143,57.233049019,,
AL,Chambers County,1017,2014,33980,56.959816234,,
AL,Chambers County,1017,2015,34007,57.005075652,,
AL,Chambers County,1017,2016,33771,56.60947481,,
AL,Chambers County,1017,2017,33758,56.587683238,,
AL,Chambers County,1017,2018,33615,56.347975947,,
AL,Cherokee County,1019,2010,25974,46.924702833,,
AL,Cherokee County,1019,2011,25994,46.96083489,,
