year,cocnumber,doe_total_count,doe_unsheltered,doe_sheltered,doe_hotel_motel,doe_doubled_up
2016,AK-500,2905,155,819,236,1695
2014,AK-500,2155,137,512,269,1237
2015,AK-500,2217,91,551,224,1351
2017,AK-500,2476,168,454,166,1688
2014,AK-501,1772,221,388,91,1041
2015,AK-501,1890,232,474,77,1045
2016,AK-501,2127,265,490,114,1209
2017,AK-501,1642,240,272,63,1003
2015,AL-500,2907,13,152,115,2511
2017,AL-500,2042,21,90,134,1735
2014,AL-500,2758,16,208,50,2214
2016,AL-500,2050,3,56,95,1689
2015,AL-501,6392,55,471,188,5678
2016,AL-501,4982,54,326,149,4453
2014,AL-501,6516,181,189,491,5652
2017,AL-501,6159,63,295,156,5636
2014,AL-502,1206,57,66,6,1066
2017,AL-502,875,33,44,11,763
2015,AL-502,1043,52,90,13,870
2016,AL-502,896,46,39,9,782
2014,AL-503,806,12,13,153,564
2016,AL-503,767,0,27,139,377
2015,AL-503,933,0,59,183,668
2017,AL-503,726,15,81,102,513
2015,AL-504,1284,5,104,82,1020
2016,AL-504,870,20,52,82,713
2017,AL-504,1216,16,78,80,1040
2014,AL-504,1071,0,107,5,861
2017,AL-505,1358,312,19,10,798
2015,AL-505,1496,404,23,28,1016
2014,AL-505,1427,406,41,16,922
2016,AL-505,1342,386,49,21,881
2015,AL-506,593,0,62,77,454
2016,AL-506,412,11,27,53,321
2017,AL-506,432,0,16,53,352
2014,AL-506,492,6,11,50,396
2016,AL-507,2778,39,29,77,2107
2015,AL-507,4720,106,120,94,3891
2014,AL-507,4976,128,80,62,4540
2017,AL-507,3092,133,74,103,2163
2014,AR-500,1792,3,203,64,1455
2015,AR-500,1678,12,166,64,1317
2016,AR-500,1899,10,195,55,1595
2017,AR-500,2076,8,181,77,1637
2016,AR-501,1825,29,207,144,1388
2015,AR-501,1661,17,127,100,1223
2017,AR-501,2032,0,126,150,1514
2014,AR-501,1829,8,197,113,1206
2014,AR-503,3614,33,249,47,2459
2015,AR-503,3761,34,354,60,2637
2016,AR-503,4027,59,160,119,3217
2017,AR-503,4331,41,105,32,2881
2014,AR-504,1919,44,192,9,1377
2015,AR-504,1862,46,106,10,1482
2017,AR-504,2100,59,32,13,792
2016,AR-504,2098,70,104,23,1491
2017,AR-505,753,0,41,9,385
2016,AR-505,650,5,44,29,488
2015,AR-505,501,0,45,23,338
2014,AR-505,581,14,57,20,388
2017,AZ-500,6301,215,871,367,4401
2015,AZ-500,5498,104,695,258,3961
2016,AZ-500,6127,171,875,283,4202
2014,AZ-500,5428,125,722,279,3794
2014,AZ-501,5653,36,1250,84,3992
2016,AZ-501,4497,52,1223,95,2910
2017,AZ-501,4257,43,461,132,2718
2015,AZ-501,5487,28,1372,77,3778
2017,AZ-502,16161,280,4439,1066,8553
2016,AZ-502,15514,331,4050,835,8223
2015,AZ-502,18420,468,5622,828,9970
2014,AZ-502,18565,518,5854,610,9705
2014,CA-500,3511,116,521,167,2548
2015,CA-500,1896,73,275,202,1203
2016,CA-500,3987,274,338,194,3128
2017,CA-500,4645,296,455,164,3672
