year,cocnumber,doe_total_rate,doe_unsheltered_rate,doe_sheltered_rate,doe_hotel_motel_rate,doe_doubled_up_rate
2016-2014,AK-500,-750,-18,-307,33,-458
2014-2015,AK-500,62,-46,39,-45,114
2015-2017,AK-500,259,77,-97,-58,337
2014-2015,AK-501,118,11,86,-14,4
2015-2016,AK-501,237,33,16,37,164
2016-2017,AK-501,-485,-25,-218,-51,-206
2015-2017,AL-500,-865,8,-62,19,-776
2017-2014,AL-500,716,-5,118,-84,479
2014-2016,AL-500,-708,-13,-152,45,-525
2015-2016,AL-501,-1410,-1,-145,-39,-1225
2016-2014,AL-501,1534,127,-137,342,1199
2014-2017,AL-501,-357,-118,106,-335,-16
2014-2017,AL-502,-331,-24,-22,5,-303
2017-2015,AL-502,168,19,46,2,107
2015-2016,AL-502,-147,-6,-51,-4,-88
2014-2016,AL-503,-39,-12,14,-14,-187
2016-2015,AL-503,166,0,32,44,291
2015-2017,AL-503,-207,15,22,-81,-155
2015-2016,AL-504,-414,15,-52,0,-307
2016-2017,AL-504,346,-4,26,-2,327
2017-2014,AL-504,-145,-16,29,-75,-179
2017-2015,AL-505,138,92,4,18,218
2015-2014,AL-505,-69,2,18,-12,-94
2014-2016,AL-505,-85,-20,8,5,-41
2015-2016,AL-506,-181,11,-35,-24,-133
2016-2017,AL-506,20,-11,-11,0,31
2017-2014,AL-506,60,6,-5,-3,44
2016-2015,AL-507,1942,67,91,17,1784
2015-2014,AL-507,256,22,-40,-32,649
2014-2017,AL-507,-1884,5,-6,41,-2377
2014-2015,AR-500,-114,9,-37,0,-138
2015-2016,AR-500,221,-2,29,-9,278
2016-2017,AR-500,177,-2,-14,22,42
2016-2015,AR-501,-164,-12,-80,-44,-165
2015-2017,AR-501,371,-17,-1,50,291
2017-2014,AR-501,-203,8,71,-37,-308
2014-2015,AR-503,147,1,105,13,178
2015-2016,AR-503,266,25,-194,59,580
2016-2017,AR-503,304,-18,-55,-87,-336
2014-2015,AR-504,-57,2,-86,1,105
2015-2017,AR-504,238,13,-74,3,-690
2017-2016,AR-504,-2,11,72,10,699
2017-2016,AR-505,-103,5,3,20,103
2016-2015,AR-505,-149,-5,1,-6,-150
2015-2014,AR-505,80,14,12,-3,50
2017-2015,AZ-500,-803,-111,-176,-109,-440
2015-2016,AZ-500,629,67,180,25,241
2016-2014,AZ-500,-699,-46,-153,-4,-408
2014-2016,AZ-501,-1156,16,-27,11,-1082
2016-2017,AZ-501,-240,-9,-762,37,-192
2017-2015,AZ-501,1230,-15,911,-55,1060
2017-2016,AZ-502,-647,51,-389,-231,-330
2016-2015,AZ-502,2906,137,1572,-7,1747
2015-2014,AZ-502,145,50,232,-218,-265
2014-2015,CA-500,-1615,-43,-246,35,-1345
2015-2016,CA-500,2091,201,63,-8,1925
2016-2017,CA-500,658,22,117,-30,544
2014-2016,CA-501,-256,13,-10,-47,-218
2016-2015,CA-501,102,-8,-68,75,109
2015-2017,CA-501,-204,2,-134,-140,66
2016-2015,CA-502,-206,-30,-124,-87,-9
2015-2014,CA-502,1048,210,95,107,642
2014-2017,CA-502,-72,-137,9,1,96
2016-2017,CA-503,1099,130,65,229,765
2017-2014,CA-503,2715,-48,151,-294,2910
2014-2015,CA-503,-3340,-107,-269,-46,-2942
2017-2016,CA-504,-260,22,-79,-10,-272
2016-2015,CA-504,259,10,-55,22,434
2015-2014,CA-504,647,2,-5,22,591
2015-2017,CA-505,64,10,52,70,-78
2017-2014,CA-505,797,320,-32,-99,614
2014-2016,CA-505,-1095,-332,-33,46,-792
2015-2014,CA-506,1713,349,48,54,1220
2014-2017,CA-506,266,-140,42,-2,401
2017-2016,CA-506,-664,-61,-85,-42,-741
2015-2017,CA-507,-143,0,-9,2,-257
2017-2014,CA-507,63,4,-2,5,264
2014-2016,CA-507,-11,3,0,2,-71
2015-2014,CA-508,-59,-111,-141,-10,193
2014-2017,CA-508,640,78,119,18,428
2017-2016,CA-508,-403,-25,-27,-30,-332
2016-2015,CA-509,-112,-33,-35,-4,-135
2015-2017,CA-509,242,5,36,30,234
2017-2014,CA-509,-136,-8,1,-46,-137
2014-2015,CA-510,-3351,1,-157,5,-3218
2015-2016,CA-510,-842,-10,130,34,-994
2016-2017,CA-510,343,44,-30,62,278
2017-2016,CA-511,-703,-23,4,-80,-584
2016-2014,CA-511,766,-35,116,-174,737
2014-2015,CA-511,-815,27,-147,130,-695
2016-2017,CA-512,397,5,4,-15,393
2017-2014,CA-512,-87,-16,4,2,-100
2014-2015,CA-512,-379,6,-14,19,-347
2015-2017,CA-513,-119,-32,-18,55,-251
2017-2014,CA-513,2538,101,271,-3,2272
2014-2016,CA-513,-2857,-61,-289,-23,-2386
2016-2015,CA-514,-906,-55,-128,-66,-750
2015-2014,CA-514,4078,6,274,100,3448
2014-2017,CA-514,-2497,105,-131,25,-2529
2014-2016,CA-515,-101,7,50,60,-38
2016-2015,CA-515,-548,-23,-50,-25,-474
2015-2017,CA-515,741,37,69,35,595
2014-2017,CA-516,-527,-92,-88,12,-229
2017-2015,CA-516,-126,-16,23,0,-96
2015-2016,CA-516,69,-1,-9,-39,62
2016-2014,CA-517,15,-8,-6,7,28
2014-2015,CA-517,-158,-10,-11,-14,-128
2015-2017,CA-517,225,34,57,9,126
2015-2016,CA-518,440,9,50,39,563
2016-2017,CA-518,-46,-6,-14,31,-59
2017-2014,CA-518,336,13,94,-7,233
2016-2015,CA-519,-416,-28,-43,-11,-284
2015-2017,CA-519,564,25,39,34,467
2017-2014,CA-519,-162,9,81,-18,-277
2017-2016,CA-520,-520,17,-4,-25,-801
2016-2014,CA-520,381,-14,15,-53,539
2014-2015,CA-520,-620,-4,-10,-9,-374
2017-2014,CA-521,387,29,56,-76,394
2014-2015,CA-521,-454,-29,-35,-22,-379
2015-2016,CA-521,46,-2,18,32,36
2017-2016,CA-522,-142,-25,6,9,-98
2016-2014,CA-522,-54,-19,-99,9,55
2014-2015,CA-522,-454,53,84,-87,-452
2014-2016,CA-524,-252,-11,-25,-67,-160
2016-2015,CA-524,-80,-8,-32,32,-47
2015-2017,CA-524,147,5,21,24,55
2014-2017,CA-525,137,39,14,5,102
2017-2016,CA-525,-85,-15,21,-1,-25
2016-2015,CA-525,60,-21,5,-18,36
2014-2015,CA-526,-441,-244,-25,-16,-150
2015-2016,CA-526,988,13,662,9,269
2016-2017,CA-526,-782,6,-649,15,-212
2017-2014,CA-527,96,0,27,-12,75
2014-2015,CA-527,-308,-14,-33,-1,-268
2015-2016,CA-527,129,12,15,9,112
2017-2016,CA-529,16,-15,-6,3,19
2016-2015,CA-529,122,0,-1,1,135
2015-2014,CA-529,190,8,3,21,160
2014-2016,CA-530,-46,23,11,-1,-84
2016-2017,CA-530,-18,2,-19,-3,2
2017-2015,CA-530,-67,-17,-10,3,-35
2015-2014,CA-600,17681,1697,1901,1896,12160
2014-2016,CA-600,-12570,-769,-1023,-1338,-9842
2016-2017,CA-600,11117,2145,916,1256,7015
2016-2014,CA-601,3618,126,1502,-121,2193
2014-2017,CA-601,-3442,-114,-1362,231,-2192
2017-2015,CA-601,-1040,-184,357,-451,-719
2014-2016,CA-602,-7644,40,-646,-59,-6917
2016-2017,CA-602,27,59,-95,173,-221
2017-2015,CA-602,-1132,-116,132,-396,-655
2015-2016,CA-603,1090,22,86,24,974
2016-2014,CA-603,967,-13,-12,25,916
2014-2017,CA-603,-1466,37,-54,-8,-1407
2016-2017,CA-604,-542,16,-68,81,-651
2017-2014,CA-604,2552,7,-237,-140,2721
2014-2015,CA-604,-1839,-4,371,39,-1874
2016-2015,CA-606,-906,-25,-23,-40,-818
2015-2017,CA-606,1950,30,-25,32,1913
2017-2014,CA-606,-1802,-32,153,2,-1925
2017-2016,CA-607,-254,-23,-45,-13,-173
2016-2015,CA-607,403,25,64,15,299
2015-2014,CA-607,64,-50,-7,-42,131
2016-2014,CA-608,4779,75,-75,-98,4940
2014-2017,CA-608,-5324,84,-53,307,-5624
2017-2015,CA-608,-222,-175,82,-290,97
2014-2017,CA-609,-5240,-567,63,497,-5324
2017-2016,CA-609,824,12,80,-269,1312
2016-2015,CA-609,-4143,-129,-432,-248,-3304
2014-2017,CA-611,-2909,37,-25,-44,-2459
2017-2015,CA-611,-1064,-89,-76,-12,-1028
2015-2016,CA-611,722,37,84,24,330
2014-2015,CA-612,-360,3,-27,13,-349
2015-2017,CA-612,611,4,-16,-4,627
2017-2016,CA-612,-284,-2,7,-9,-280
2017-2015,CA-613,275,-3,-2,-16,199
2015-2016,CA-613,188,-3,28,-13,116
2016-2014,CA-613,240,31,-23,25,293
2016-2014,CA-614,-350,-70,-41,-9,-346
2014-2017,CA-614,272,46,53,-55,340
2017-2015,CA-614,-330,-13,-20,47,-290
2015-2017,CO-500,-3,129,-38,108,-221
2017-2014,CO-500,414,-214,847,-180,25
2014-2016,CO-500,-419,77,-739,117,128
2017-2014,CO-503,2329,-247,216,869,1449
2014-2015,CO-503,665,96,120,-212,685
2015-2016,CO-503,-891,4,-128,-118,-653
2014-2015,CO-504,225,21,-7,75,95
2015-2016,CO-504,-240,36,-99,-31,-110
2016-2017,CO-504,148,29,87,25,-25
2016-2015,CT-503,-201,0,-89,-17,-106
2015-2017,CT-503,299,17,98,-5,179
2017-2014,CT-503,-230,-17,-58,11,-142
2017-2015,CT-505,-976,-13,-166,-94,-694
2015-2016,CT-505,482,-6,140,21,284
2016-2014,CT-505,-788,3,-207,-70,-493
2017-2014,DC-500,-2857,-93,-1253,-454,-1816
2014-2015,DC-500,-201,32,629,226,-246
2015-2016,DC-500,3032,67,1081,78,1216
2017-2015,DE-500,-229,-19,46,-30,-311
2015-2016,DE-500,130,3,-22,99,122
2016-2014,DE-500,1125,5,102,-21,921
2016-2014,FL-500,330,-4,-45,88,291
2014-2015,FL-500,-31,8,-53,46,-32
2015-2017,FL-500,-45,16,52,-90,-23
2014-2017,FL-501,-22,40,145,131,-338
2017-2016,FL-501,104,2,-26,-81,209
2016-2015,FL-501,492,-9,-5,-41,547
2015-2017,FL-502,253,20,-8,12,229
2017-2016,FL-502,-508,17,-127,-13,-385
2016-2014,FL-502,-466,-49,-6,-35,-376
2015-2017,FL-503,-456,-121,-75,40,-300
2017-2016,FL-503,523,111,-4,6,410
2016-2014,FL-503,160,35,18,35,72
2017-2015,FL-504,69,-16,-7,35,57
2015-2016,FL-504,-253,2,-10,-37,-208
2016-2014,FL-504,99,-30,22,-62,169
2017-2015,FL-505,-124,0,-255,4,127
2015-2016,FL-505,310,16,33,24,237
2016-2014,FL-505,-244,-19,-27,-23,-183
2014-2016,FL-506,-415,-34,7,-15,-386
2016-2017,FL-506,-192,112,34,3,-284
2017-2015,FL-506,144,-48,-24,9,223
2016-2015,FL-507,1115,12,23,92,988
2015-2017,FL-507,-2439,-40,-238,7,-2181
2017-2014,FL-507,2656,0,292,-229,2606
2016-2015,FL-508,-64,-15,-8,-17,-34
2015-2014,FL-508,147,16,-16,20,133
2014-2017,FL-508,-32,-4,23,-2,-61
2016-2014,FL-509,-162,8,25,-36,-157
2014-2017,FL-509,389,5,19,81,302
2017-2015,FL-509,-313,-7,16,-74,-270
2015-2017,FL-510,723,23,-198,113,785
2017-2014,FL-510,-822,-49,250,-69,-954
2014-2016,FL-510,-109,32,-297,-48,204
2017-2015,FL-511,906,-12,61,43,814
2015-2014,FL-511,194,15,19,41,119
2014-2016,FL-511,-645,-3,-44,-40,-558
2014-2015,FL-512,15,-15,8,12,9
2015-2016,FL-512,3,9,0,6,-9
2016-2017,FL-512,72,3,0,-26,90
2015-2014,FL-513,-156,7,25,-31,-157
2014-2016,FL-513,283,29,-6,-6,266
2016-2017,FL-513,292,32,-10,40,230
2014-2015,FL-514,311,14,29,42,226
2015-2016,FL-514,-192,-9,-39,-5,-139
2016-2017,FL-514,-67,9,-29,11,-58
2015-2014,FL-515,-347,16,16,-25,-340
2014-2017,FL-515,446,23,-50,49,349
2017-2016,FL-515,-9,-36,2,8,95
2017-2014,FL-517,46,9,-74,-2,616
2014-2015,FL-517,-167,7,-13,-10,-171
2015-2016,FL-517,-30,4,18,20,-430
