local_education_agency_identifier,school_year,state_name,state_fips,state_school_district_identifier,district_name,total_homeless_students,hotel_motel_count,unsheltered_count,sheltered_count,doubled_up_count
100005,2016-2017,Alabama,1,AL-101,Albertville City,61,,,,53
100006,2016-2017,Alabama,1,AL-048,Marshall County,261,3,,,258
100007,2016-2017,Alabama,1,AL-158,Hoover City,62,22,,7,33
100008,2016-2017,Alabama,1,AL-169,Madison City,86,24,,7,55
100011,2016-2017,Alabama,1,AL-167,Leeds City,135,,,4,131
100012,2016-2017,Alabama,1,AL-115,Boaz City,53,,5,,48
100013,2016-2017,Alabama,1,AL-205,Trussville City,4,,,,
100030,2016-2017,Alabama,1,AL-102,Alexander City,13,,,,
100060,2016-2017,Alabama,1,AL-104,Andalusia City,5,,,,
100090,2016-2017,Alabama,1,AL-105,Anniston City,153,,,,
100100,2016-2017,Alabama,1,AL-106,Arab City,21,,,,19
100120,2016-2017,Alabama,1,AL-107,Athens City,72,,,,60
100180,2016-2017,Alabama,1,AL-109,Attalla City,173,,,,147
100185,2016-2017,Alabama,1,AL-187,Saraland City,14,,,,8
100188,2016-2017,Alabama,1,AL-121,Chickasaw City,50,3,,4,43
100189,2016-2017,Alabama,1,AL-196,Satsuma City,16,,,,13
100190,2016-2017,Alabama,1,AL-103,Alabaster City,40,5,,11,24
100194,2016-2017,Alabama,1,AL-177,Pelham City,17,,,,12
100210,2016-2017,Alabama,1,AL-110,Auburn City,24,6,,,18
100240,2016-2017,Alabama,1,AL-001,Autauga County,49,7,,,40
100270,2016-2017,Alabama,1,AL-002,Baldwin County,383,16,6,58,303
100300,2016-2017,Alabama,1,AL-003,Barbour County,7,3,,,4
100330,2016-2017,Alabama,1,AL-113,Bessemer City,281,32,,,229
100360,2016-2017,Alabama,1,AL-004,Bibb County,40,,,,38
100390,2016-2017,Alabama,1,AL-114,Birmingham City,191,13,10,23,145
100420,2016-2017,Alabama,1,AL-005,Blount County,140,,,,
100480,2016-2017,Alabama,1,AL-006,Bullock County,9,,,,9
100510,2016-2017,Alabama,1,AL-007,Butler County,168,,,3,165
100540,2016-2017,Alabama,1,AL-008,Calhoun County,134,,,,120
100600,2016-2017,Alabama,1,AL-009,Chambers County,20,,,,
100630,2016-2017,Alabama,1,AL-010,Cherokee County,444,,284,,147
100660,2016-2017,Alabama,1,AL-011,Chilton County,8,,,,8
100690,2016-2017,Alabama,1,AL-012,Choctaw County,5,,,,5
100720,2016-2017,Alabama,1,AL-013,Clarke County,14,,,,14
100750,2016-2017,Alabama,1,AL-014,Clay County,7,,,,
100780,2016-2017,Alabama,1,AL-015,Cleburne County,32,,,,25
100810,2016-2017,Alabama,1,AL-016,Coffee County,69,,6,,63
100840,2016-2017,Alabama,1,AL-017,Colbert County,310,,,10,291
100960,2016-2017,Alabama,1,AL-021,Crenshaw County,6,,,,6
100990,2016-2017,Alabama,1,AL-125,Cullman City,13,,,,10
101020,2016-2017,Alabama,1,AL-022,Cullman County,21,,,,21
101050,2016-2017,Alabama,1,AL-023,Dale County,4,,,,
101110,2016-2017,Alabama,1,AL-024,Dallas County,174,,88,,86
101140,2016-2017,Alabama,1,AL-025,Dekalb County,361,10,28,10,313
101170,2016-2017,Alabama,1,AL-127,Decatur City,61,12,,10,39
101230,2016-2017,Alabama,1,AL-130,Dothan City,198,33,,20,145
101260,2016-2017,Alabama,1,AL-131,Elba City,88,,,,88
101290,2016-2017,Alabama,1,AL-026,Elmore County,116,3,3,5,105
101320,2016-2017,Alabama,1,AL-132,Enterprise City,172,4,,9,159
101350,2016-2017,Alabama,1,AL-027,Escambia County,16,,4,6,6
101380,2016-2017,Alabama,1,AL-028,Etowah County,43,,,9,29
101410,2016-2017,Alabama,1,AL-133,Eufaula City,29,12,,4,13
101440,2016-2017,Alabama,1,AL-137,Fairfield City,439,4,,,435
101470,2016-2017,Alabama,1,AL-029,Fayette County,33,,,6,27
101530,2016-2017,Alabama,1,AL-141,Florence City,132,,,13,115
101620,2016-2017,Alabama,1,AL-144,Gadsden City,50,,,,42
101660,2016-2017,Alabama,1,AL-031,Geneva County,20,,,,
101680,2016-2017,Alabama,1,AL-032,Greene County,5,,,,
101690,2016-2017,Alabama,1,AL-154,Guntersville City,167,,24,,141
101710,2016-2017,Alabama,1,AL-033,Hale County,3,,,,3
101720,2016-2017,Alabama,1,AL-155,Haleyville City,4,,,,
101730,2016-2017,Alabama,1,AL-156,Hartselle City,39,,3,,36
101740,2016-2017,Alabama,1,AL-034,Henry County,3,,,,3
101760,2016-2017,Alabama,1,AL-157,Homewood City,8,,,,8
101770,2016-2017,Alabama,1,AL-035,Houston County,11,,,,7
101800,2016-2017,Alabama,1,AL-159,Huntsville City,208,53,8,48,99
101830,2016-2017,Alabama,1,AL-036,Jackson County,12,,,,
101860,2016-2017,Alabama,1,AL-162,Jacksonville City,10,,,,
101890,2016-2017,Alabama,1,AL-163,Jasper City,10,,,,10
