cocnumber,of_leas_in_coc,total_hcy_count,hotels_motels,unsheltered,sheltered,doubled_up,cdw,lep,uhy
Unmatched,271,38112,3190,860,3835,29006,6753,3813,3657
AK-500,2,2476,166,168,454,1688,599,500,470
AK-501,20,1642,63,240,272,1007,426,134,396
AL-500,14,1938,134,21,84,1652,258,105,59
AL-501,5,6159,156,63,295,5636,891,134,175
AL-502,11,875,11,33,44,763,167,16,28
AL-503,8,726,102,15,81,513,145,54,67
AL-504,6,1216,80,16,78,1040,136,27,49
AL-506,2,432,53,,16,352,62,15,17
AL-507,57,2731,93,133,55,1852,364,134,39
AR-500,23,2076,77,8,181,1637,279,148,57
AR-501,22,1862,145,,126,1353,298,294,35
AR-503,79,4282,32,41,105,2881,705,207,143
AR-504,52,2047,13,59,32,742,375,76,142
AR-505,32,724,3,,41,364,67,24,
AR-512,5,268,3,3,4,248,41,,12
AZ-500,105,6321,367,215,885,4430,1011,786,84
AZ-501,33,4220,135,43,461,2686,825,380,150
AZ-502,154,16293,1063,283,4512,8608,2242,3023,2608
CA-500,29,4645,164,296,455,3672,619,2313,80
CA-501,2,2308,210,42,509,1545,368,788,4
CA-502,17,4456,283,140,502,3521,690,1437,454
CA-503,11,4937,419,122,298,4082,860,760,235
CA-504,27,1008,29,32,245,617,164,346,63
CA-505,17,2637,199,130,305,1963,454,653,156
CA-506,29,8455,173,378,323,7498,882,5151,51
CA-507,18,1254,5,,85,933,154,824,3
CA-508,10,3462,57,133,214,3034,532,2144,46
CA-509,12,790,60,27,52,600,101,185,30
CA-510,22,3556,226,89,235,2897,428,1048,62
CA-511,12,2643,269,86,299,1956,332,497,93
CA-512,20,2438,44,36,210,2068,255,1372,
CA-513,40,3856,146,280,410,2703,337,1154,51
CA-514,39,5928,329,220,369,4521,696,1551,753
CA-515,25,2503,113,92,234,1975,342,299,83
CA-516,44,1307,119,39,167,884,183,45,129
CA-517,3,464,20,42,107,291,63,182,6
CA-518,8,1591,155,23,160,1236,235,323,69
CA-519,13,1376,74,44,140,1102,223,72,177
CA-520,15,1937,123,200,20,1517,246,468,91
CA-521,6,924,123,15,51,671,103,239,29
CA-522,23,1299,126,80,209,773,212,130,161
