cocnumber,of_leas_in_coc,total_hcy_count,hotels_motels,unsheltered,sheltered,doubled_up,cdw,lep,uhy
AK-500,2,2476.0,166.0,168.0,454.0,1688.0,599.0,500.0,470.0
AK-501,20,1642.0,63.0,240.0,272.0,1007.0,426.0,134.0,396.0
AL-500,14,1938.0,134.0,21.0,84.0,1652.0,258.0,105.0,59.0
AL-501,5,6159.0,156.0,63.0,295.0,5636.0,891.0,134.0,175.0
AL-502,11,875.0,11.0,33.0,44.0,763.0,167.0,16.0,28.0
AL-503,8,726.0,102.0,15.0,81.0,513.0,145.0,54.0,67.0
AL-504,6,1216.0,80.0,16.0,78.0,1040.0,136.0,27.0,49.0
AL-506,2,432.0,53.0,,16.0,352.0,62.0,15.0,17.0
AL-507,57,2731.0,93.0,133.0,55.0,1852.0,364.0,134.0,39.0
AR-500,23,2076.0,77.0,8.0,181.0,1637.0,279.0,148.0,57.0
AR-501,22,1862.0,145.0,,126.0,1353.0,298.0,294.0,35.0
AR-503,79,4282.0,32.0,41.0,105.0,2881.0,705.0,207.0,143.0
AR-504,52,2047.0,13.0,59.0,32.0,742.0,375.0,76.0,142.0
AR-505,32,724.0,3.0,,41.0,364.0,67.0,24.0,
AR-512,5,268.0,3.0,3.0,4.0,248.0,41.0,,12.0
AZ-500,105,6321.0,367.0,215.0,885.0,4430.0,1011.0,786.0,84.0
AZ-501,33,4220.0,135.0,43.0,461.0,2686.0,825.0,380.0,150.0
AZ-502,154,16293.0,1063.0,283.0,4512.0,8608.0,2242.0,3023.0,2608.0
CA-500,29,4645.0,164.0,296.0,455.0,3672.0,619.0,2313.0,80.0
CA-501,2,2308.0,210.0,42.0,509.0,1545.0,368.0,788.0,4.0
CA-502,17,4456.0,283.0,140.0,502.0,3521.0,690.0,1437.0,454.0
CA-503,11,4937.0,419.0,122.0,298.0,4082.0,860.0,760.0,235.0
CA-504,27,1008.0,29.0,32.0,245.0,617.0,164.0,346.0,63.0
