coc_number,year,giw_hmis_leasing_budget,giw_hmis_rental_assistance_budget,giw_hmis_supportive_services_budget,giw_hmis_operating_budget,giw_hmis_hmis_budget,giw_hmis_administration_budget,giw_hmis_annual_renewal_amount,giw_joint_th_ph_rrh_leasing_budget,giw_joint_th_ph_rrh_rental_assistance_budget,giw_joint_th_ph_rrh_supportive_services_budget,giw_joint_th_ph_rrh_operating_budget,giw_joint_th_ph_rrh_hmis_budget,giw_joint_th_ph_rrh_administration_budget,giw_joint_th_ph_rrh_annual_renewal_amount,giw_ph_leasing_budget,giw_ph_rental_assistance_budget,giw_ph_supportive_services_budget,giw_ph_operating_budget,giw_ph_hmis_budget,giw_ph_administration_budget,giw_ph_annual_renewal_amount,giw_sh_leasing_budget,giw_sh_rental_assistance_budget,giw_sh_supportive_services_budget,giw_sh_operating_budget,giw_sh_hmis_budget,giw_sh_administration_budget,giw_sh_annual_renewal_amount,giw_sso_leasing_budget,giw_sso_rental_assistance_budget,giw_sso_supportive_services_budget,giw_sso_operating_budget,giw_sso_hmis_budget,giw_sso_administration_budget,giw_sso_annual_renewal_amount,giw_sso_non_ce_leasing_budget,giw_sso_non_ce_rental_assistance_budget,giw_sso_non_ce_supportive_services_budget,giw_sso_non_ce_operating_budget,giw_sso_non_ce_hmis_budget,giw_sso_non_ce_administration_budget,giw_sso_non_ce_annual_renewal_amount,giw_th_leasing_budget,giw_th_rental_assistance_budget,giw_th_supportive_services_budget,giw_th_operating_budget,giw_th_hmis_budget,giw_th_administration_budget,giw_th_annual_renewal_amount
AK-500,2019,false,false,false,false,175994,0,175994,0,0,0,0,0,0,0,0,1778556,515791,524124,9312,130741,2958524,0,false,0,0,0,0,0,0,false,368546,0,0,36554,405100,false,false,0,false,false,0,0,0,0,154922,72560,0,13580,241062
AK-501,2019,false,false,false,false,28447,1759,30206,0,39996,23168,0,0,4200,67364,55732,252192,37088,256908,0,22573,624493,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,41847,25466,0,0,67313
AL-500,2019,false,false,false,false,260400,22080,282480,10200,131760,146925,60532,22050,36564,408031,4492661,793800,1355297,394381,41110,583131,7660380,0,false,185000,64922,0,21380,271302,0,false,343312,0,0,34331,377643,false,false,0,false,false,0,0,0,0,121657,87000,0,14605,223262
AL-501,2019,false,false,false,false,162358,11365,173723,0,0,0,0,0,0,0,1151560,514992,728543,239815,1500,136447,2772857,0,false,0,0,0,0,0,118056,false,551658,0,34000,49259,752973,false,false,0,false,false,0,0,0,0,0,0,0,0,0
AL-502,2019,false,false,false,false,38375,0,38375,0,0,0,0,0,0,0,0,185220,161924,0,12268,21327,380739,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,0,0,0,0,0
AL-503,2019,false,false,false,false,146261,10237,156498,0,0,0,0,0,0,0,0,383292,17110,0,0,0,400402,0,false,0,0,0,0,0,0,false,74446,0,0,5641,80087,false,false,0,false,false,0,0,0,0,0,0,0,0,0
AL-506,2019,false,false,false,false,40000,2000,42000,0,0,0,0,0,0,0,0,142560,0,0,0,3180,145740,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,10534,5025,0,0,15559
AL-507,2019,false,false,false,false,128638,2573,131211,0,0,0,0,0,0,0,448089,161940,162389,108334,1858,52865,935475,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,0,0,0,0,0
AR-500,2019,false,false,false,false,90210,9000,99210,0,0,0,0,0,0,0,414216,2032728,161447,17415,0,153046,2778852,0,false,0,0,0,0,0,0,false,33010,0,0,3301,36311,false,false,0,false,false,0,0,0,0,112827,42000,0,7741,162568
AR-501,2019,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,191820,43729,0,0,8908,244457,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,30960,5214,0,0,3345,39519
AR-503,2019,false,false,false,false,48566,3655,52221,0,48492,65000,855,0,0,114347,0,52296,4717,0,0,0,57013,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,124485,65129,0,9500,199114
AR-505,2019,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,114696,102128,0,0,10875,227699,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,20243,0,0,0,20243
AZ-500,2019,false,false,false,false,200000,13140,213140,165480,77664,86061,0,0,23166,352371,1131620,1691484,260606,46647,0,187570,3317927,0,false,0,0,0,0,0,0,false,26835,0,0,1787,28622,false,false,0,false,false,0,0,0,0,0,0,0,0,0
