Year,State,coc_number,spm0_coc_award_amount,HMIS Count,SPM4 Stayers,SPM4 Leavers,SPM5,SPM7,coc_category,total_returns,0_to_6_month_returns,6_to_12_month_returns,12_to_24_month_returns,doe_total_rate,doe_unsheltered_rate,doe_sheltered_rate,doe_hotel_motel_rate,doe_doubled_up_rate
2017,AK,AK-500,2847097.0,5236.0,76.0,106.0,2985.0,76.0,Other Urban CoCs,998,131,40,65,-429.0,13.0,-365.0,-70.0,-7.0
2017,AK,AK-501,776502.0,2453.0,70.0,38.0,1627.0,1.0,Rural CoCs,272,13,11,10,-485.0,-25.0,-218.0,-51.0,-206.0
2017,AL,AL-500,9109238.0,4150.0,564.0,294.0,2571.0,118.0,Suburban CoCs,736,205,98,89,-8.0,18.0,34.0,39.0,46.0
2017,AL,AL-501,3744586.0,2294.0,127.0,93.0,1541.0,20.0,Other Urban CoCs,220,25,19,6,1177.0,9.0,-31.0,7.0,1183.0
2017,AL,AL-502,447309.0,0.0,91.0,106.0,0.0,0.0,Rural CoCs,0,0,0,0,-21.0,-13.0,5.0,2.0,-19.0
2017,AL,AL-503,650007.0,356.0,40.0,27.0,269.0,6.0,Other Urban CoCs,260,12,5,10,-41.0,15.0,54.0,-37.0,136.0
2017,AL,AL-504,1970964.0,1429.0,49.0,16.0,967.0,1.0,Other Urban CoCs,469,51,21,26,346.0,-4.0,26.0,-2.0,327.0
2017,AL,AL-506,211879.0,375.0,5.0,0.0,234.0,0.0,Other Urban CoCs,213,7,8,8,20.0,-11.0,-11.0,0.0,31.0
2017,AL,AL-507,1104980.0,75.0,42.0,37.0,41.0,10.0,Rural CoCs,8,2,0,2,314.0,94.0,45.0,26.0,56.0
2017,AR,AR-500,3107871.0,1545.0,321.0,124.0,1167.0,0.0,Other Urban CoCs,766,47,27,56,177.0,-2.0,-14.0,22.0,42.0
2017,AR,AR-501,345423.0,831.0,11.0,9.0,544.0,0.0,Other Urban CoCs,124,10,0,6,207.0,-29.0,-81.0,6.0,126.0
2017,AR,AR-503,401154.0,1500.0,21.0,57.0,1063.0,0.0,Rural CoCs,317,28,7,20,304.0,-18.0,-55.0,-87.0,-336.0
2017,AR,AR-505,257589.0,239.0,0.0,0.0,124.0,0.0,Rural CoCs,80,12,5,8,103.0,-5.0,-3.0,-20.0,-103.0
2017,AZ,AZ-500,3880375.0,4055.0,320.0,319.0,2681.0,131.0,Rural CoCs,1787,118,60,100,174.0,44.0,-4.0,84.0,199.0
2017,AZ,AZ-501,8395741.0,4990.0,480.0,477.0,3007.0,124.0,Major Cities,2442,394,137,178,-240.0,-9.0,-762.0,37.0,-192.0
2017,AZ,AZ-502,25129344.0,14101.0,2172.0,1207.0,8384.0,1373.0,Major Cities,5657,618,371,431,647.0,-51.0,389.0,231.0,330.0
2017,CA,CA-500,21305510.0,6418.0,266.0,597.0,3572.0,17.0,Major Cities,1598,126,71,64,658.0,22.0,117.0,-30.0,544.0
2017,CA,CA-501,40532368.0,7859.0,1935.0,427.0,1005.0,2.0,Major Cities,900,51,22,14,-102.0,-6.0,-202.0,-65.0,175.0
