year,coc_number,hic_es_total_year_round_beds,hic_es_total_non_dv_year_round_beds,hic_es_total_hmis_year_round_beds,hic_es_total_seasonal_beds,hic_es_total_overflow_beds,hic_es_total_units_for_households_with_children,hic_es_total_beds_for_households_with_children,hic_es_total_beds_for_households_without_children,hic_th_total_year_round_beds,hic_th_total_non_dv_year_round_beds,hic_th_total_hmis_year_round_beds,hic_th_total_units_for_households_with_children,hic_th_total_beds_for_households_with_children,hic_th_total_beds_for_households_without_children,hic_psh_total_year_round_beds,hic_psh_total_non_dv_year_round_beds,hic_psh_total_hmis_year_round_beds,hic_psh_total_chronic_homeless_beds,hic_psh_total_units_for_households_with_children,hic_psh_total_beds_for_households_with_children,hic_psh_total_beds_for_households_without_children,hic_sh_total_year_round_beds,hic_sh_total_non_dv_year_round_beds,hic_sh_total_hmis_year_round_beds,hic_sh_total_beds_for_households_without_children,hic_es_total_beds_for_households_with_only_children,hic_th_total_beds_for_households_with_only_children,hic_sh_total_beds_for_households_with_only_children,hic_psh_total_beds_for_households_with_only_children,hic_rrh_total_year_round_beds,hic_rrh_total_non_dv_year_round_beds,hic_rrh_total_hmis_year_round_beds,hic_rrh_total_units_for_households_with_children,hic_rrh_total_beds_for_households_with_children,hic_rrh_total_beds_for_households_without_children,hic_rrh_total_beds_for_households_with_only_children,hic_sh_total_units_for_households_with_children,hic_sh_total_beds_for_households_with_children,hic_oph_total_year_round_beds,hic_oph_total_non_dv_year_round_beds,hic_oph_total_hmis_year_round_beds,hic_oph_total_units_for_households_with_children,hic_oph_total_beds_for_households_with_children,hic_oph_total_beds_for_households_without_children,hic_oph_total_beds_for_households_with_only_children,hic_es_dedicated_veteran_beds,hic_es_dedicated_youth_beds,hic_th_dedicated_veteran_beds,hic_th_dedicated_youth_beds,hic_sh_dedicated_veteran_beds,hic_sh_dedicated_youth_beds,hic_rrh_dedicated_veteran_beds,hic_rrh_dedicated_youth_beds,hic_psh_dedicated_veteran_beds,hic_psh_dedicated_youth_beds,hic_oph_dedicated_veteran_beds,hic_oph_dedicated_youth_beds
2007,AK-500,500,430,328,0,130,18,134,366,384,374,80,64,121,263,330,330,202,121,23,53,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,AK-500,540,470,400,0,0,33,174,366,359,349,218,64,131,228,319,319,262,121,16,40,279,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,AK-500,548,470,430,0,25,34,188,360,329,319,227,45,92,237,364,364,290,27,23,67,297,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,AK-500,548,470,400,0,20,34,188,360,442,432,305,74,166,276,378,378,318,26,20,52,326,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,AK-500,579,505,425,0,52,46,207,372,477,467,414,86,204,273,449,449,369,26,31,81,368,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,AK-500,571,505,425,0,169,40,151,420,430,420,387,84,199,231,516,516,420,37,47,155,361,0,0,0,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,AK-500,574,522,425,17,148,43,154,420,441,417,344,47,156,285,604,604,576,84,50,178,426,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2014,AK-500,606,554,424,0,122,38,156,450,382,358,224,48,174,208,505,505,505,,41,126,379,0,0,0,0,0,0,false,0,139,139,139,27,105,34,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2015,AK-500,603,551,411,11,103,44,142,461,416,392,323,48,155,261,492,492,303,,51,168,324,0,0,0,0,0,0,false,0,28,14,14,9,25,3,0,false,false,71,71,71,0,0,71,0,,,,,,,,,,,,
2016,AK-500,553,501,431,179,2,41,147,398,454,432,396,68,197,257,434,434,289,,40,84,350,0,0,0,0,8,0,false,0,55,41,41,17,48,7,0,false,false,97,97,97,0,0,97,0,,,,,,,,,,,,
2017,AK-500,597,545,466,92,24,29,132,456,426,405,363,68,207,219,571,571,379,311,52,156,415,0,0,0,0,9,0,false,0,43,43,43,8,34,9,0,false,false,71,71,71,0,0,71,0,0,60,0,55,0,0,17,3,192,0,0,0
