state_postal_code,county_name,county_fips_code,coc_number,bos_region
AL,Autauga County,1001,,
AL,Baldwin County,1003,,
AL,Barbour County,1005,,
AL,Bibb County,1007,,
AL,Blount County,1009,,
AL,Bullock County,1011,,
AL,Butler County,1013,,
AL,Calhoun County,1015,,
AL,Chambers County,1017,,
AL,Cherokee County,1019,,
AL,Chilton County,1021,,
AL,Choctaw County,1023,,
AL,Clarke County,1025,,
AL,Clay County,1027,,
AL,Cleburne County,1029,,
AL,Coffee County,1031,,
AL,Colbert County,1033,,
AL,Conecuh County,1035,,
AL,Coosa County,1037,,
AL,Covington County,1039,,
AL,Crenshaw County,1041,,
AL,Cullman County,1043,,
AL,Dale County,1045,,
AL,Dallas County,1047,,
AL,DeKalb County,1049,,
AL,Elmore County,1051,,
AL,Escambia County,1053,,
AL,Etowah County,1055,,
AL,Fayette County,1057,,
AL,Franklin County,1059,,
AL,Geneva County,1061,,
AL,Greene County,1063,,
AL,Hale County,1065,,
AL,Henry County,1067,,
AL,Houston County,1069,,
AL,Jackson County,1071,,
AL,Jefferson County,1073,,
AL,Lamar County,1075,,
AL,Lauderdale County,1077,,
AL,Lawrence County,1079,,
AL,Lee County,1081,,
AL,Limestone County,1083,,
AL,Lowndes County,1085,,
AL,Macon County,1087,,
AL,Madison County,1089,,
AL,Marengo County,1091,,
AL,Marion County,1093,,
AL,Marshall County,1095,,
AL,Mobile County,1097,,
AL,Monroe County,1099,,
AL,Montgomery County,1101,,
AL,Morgan County,1103,,
AL,Perry County,1105,,
AL,Pickens County,1107,,
AL,Pike County,1109,,
AL,Randolph County,1111,,
AL,Russell County,1113,,
AL,St. Clair County,1115,,
AL,Shelby County,1117,,
AL,Sumter County,1119,,
AL,Talladega County,1121,,
AL,Tallapoosa County,1123,,
AL,Tuscaloosa County,1125,,
AL,Walker County,1127,,
AL,Washington County,1129,,
AL,Wilcox County,1131,,
AL,Winston County,1133,,
AK,Aleutians East Borough,2013,,
AK,Aleutians West Census Area,2016,,
AK,Anchorage Municipality,2020,,
AK,Bethel Census Area,2050,,
AK,Bristol Bay Borough,2060,,
AK,Denali Borough,2068,,
AK,Dillingham Census Area,2070,,
AK,Fairbanks North Star Borough,2090,,
AK,Haines Borough,2100,,
AK,Hoonah-Angoon Census Area,2105,,
AK,Juneau City and Borough,2110,,
AK,Kenai Peninsula Borough,2122,,
AK,Ketchikan Gateway Borough,2130,,
AK,Kodiak Island Borough,2150,,
AK,Lake and Peninsula Borough,2164,,
AK,Matanuska-Susitna Borough,2170,,
AK,Nome Census Area,2180,,
AK,North Slope Borough,2185,,
AK,Northwest Arctic Borough,2188,,
AK,Petersburg Borough,2195,,
AK,Prince of Wales-Hyder Census Area,2198,,
AK,Sitka City and Borough,2220,,
AK,Skagway Municipality,2230,,
AK,Southeast Fairbanks Census Area,2240,,
AK,Valdez-Cordova Census Area,2261,,
AK,Wrangell City and Borough,2275,,
AK,Yakutat City and Borough,2282,,
AK,Yukon-Koyukuk Census Area,2290,,
AZ,Apache County,4001,AZ-500,AZ-500
AZ,Cochise County,4003,AZ-500,AZ-500
AZ,Coconino County,4005,AZ-500,AZ-500
AZ,Gila County,4007,AZ-500,AZ-500
AZ,Graham County,4009,AZ-500,AZ-500
AZ,Greenlee County,4011,AZ-500,AZ-500
AZ,La Paz County,4012,AZ-500,AZ-500
AZ,Maricopa County,4013,AZ-502,AZ-502
AZ,Mohave County,4015,AZ-500,AZ-500
AZ,Navajo County,4017,AZ-500,AZ-500
AZ,Pima County,4019,AZ-501,AZ-501
AZ,Pinal County,4021,AZ-500,AZ-500
AZ,Santa Cruz County,4023,AZ-500,AZ-500
AZ,Yavapai County,4025,AZ-500,AZ-500
AZ,Yuma County,4027,AZ-500,AZ-500
AR,Arkansas County,5001,,
AR,Ashley County,5003,,
AR,Baxter County,5005,,
AR,Benton County,5007,,
AR,Boone County,5009,,
AR,Bradley County,5011,,
