year,coc_number,coc_name,coc_category,pit_overall_homeless,pit_sheltered_es_homeless,pit_sheltered_th_homeless,pit_sheltered_sh_homeless,pit_sheltered_total_homeless,pit_unsheltered_homeless,pit_homeless_individuals,pit_sheltered_es_homeless_individuals,pit_sheltered_th_homeless_individuals,pit_sheltered_sh_homeless_individuals,pit_sheltered_total_homeless_individuals,pit_unsheltered_homeless_individuals,pit_homeless_people_in_families,pit_sheltered_es_homeless_people_in_families,pit_sheltered_th_homeless_people_in_families,pit_sheltered_total_homeless_people_in_families,pit_unsheltered_homeless_people_in_families,pit_homeless_family_households,pit_sheltered_es_homeless_family_households,pit_sheltered_th_homeless_family_households,pit_sheltered_total_homeless_family_households,pit_unsheltered_homeless_family_households,pit_chronically_homeless,pit_sheltered_es_chronically_homeless,pit_sheltered_sh_chronically_homeless,pit_sheltered_total_chronically_homeless,pit_unsheltered_chronically_homeless,pit_chronically_homeless_individuals,pit_sheltered_es_chronically_homeless_individuals,pit_sheltered_sh_chronically_homeless_individuals,pit_sheltered_total_chronically_homeless_individuals,pit_unsheltered_chronically_homeless_individuals,pit_chronically_homeless_people_in_families,pit_sheltered_es_chronically_homeless_people_in_families,pit_sheltered_total_chronically_homeless_people_in_families,pit_unsheltered_chronically_homeless_people_in_families,pit_homeless_veterans,pit_sheltered_es_homeless_veterans,pit_sheltered_th_homeless_veterans,pit_sheltered_sh_homeless_veterans,pit_sheltered_total_homeless_veterans,pit_unsheltered_homeless_veterans,pit_homeless_unaccompanied_youth_under_25,pit_sheltered_es_homeless_unaccompanied_youth_under_25,pit_sheltered_th_homeless_unaccompanied_youth_under_25,pit_sheltered_sh_homeless_unaccompanied_youth_under_25,pit_sheltered_total_homeless_unaccompanied_youth_under_25,pit_unsheltered_homeless_unaccompanied_youth_under_25,pit_homeless_unaccompanied_youth_under_18,pit_sheltered_es_homeless_unaccompanied_youth_under_18,pit_sheltered_th_homeless_unaccompanied_youth_under_18,pit_sheltered_sh_homeless_unaccompanied_youth_under_18,pit_sheltered_total_homeless_unaccompanied_youth_under_18,pit_unsheltered_homeless_unaccompanied_youth_under_18,pit_homeless_unaccompanied_youth_age_18_to_24,pit_sheltered_es_homeless_unaccompanied_youth_age_18_to_24,pit_sheltered_th_homeless_unaccompanied_youth_age_18_to_24,pit_sheltered_sh_homeless_unaccompanied_youth_age_18_to_24,pit_sheltered_total_homeless_unaccompanied_youth_age_18_to_24,pit_unsheltered_homeless_unaccompanied_youth_age_18_to_24,pit_homeless_parenting_youth_under_25,pit_sheltered_es_homeless_parenting_youth_under_25,pit_sheltered_th_homeless_parenting_youth_under_25,pit_sheltered_total_homeless_parenting_youth_under_25,pit_unsheltered_homeless_parenting_youth_under_25,pit_homeless_parenting_youth_under_18,pit_sheltered_es_homeless_parenting_youth_under_18,pit_sheltered_th_homeless_parenting_youth_under_18,pit_sheltered_total_homeless_parenting_youth_under_18,pit_unsheltered_homeless_parenting_youth_under_18,pit_homeless_parenting_youth_age_18_to_24,pit_sheltered_es_homeless_parenting_youth_age_18_to_24,pit_sheltered_th_homeless_parenting_youth_age_18_to_24,pit_sheltered_total_homeless_parenting_youth_age_18_to_24,pit_unsheltered_homeless_parenting_youth_age_18_to_24,pit_homeless_children_of_parenting_youth,pit_sheltered_es_homeless_children_of_parenting_youth,pit_sheltered_th_homeless_children_of_parenting_youth,pit_sheltered_total_homeless_children_of_parenting_youth,pit_unsheltered_homeless_children_of_parenting_youth
2007,AK-500,Anchorage CoC,Other Urban CoCs,974,548,294,0,842,132,696,438,151,0,589,107,278,110,143,253,25,93,39,46,85,8,,,,,,224,,,187,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,AK-500,Anchorage CoC,Other Urban CoCs,1023,535,386,0,921,102,695,357,239,0,596,99,328,178,147,325,3,84,42,41,83,1,,,,,,300,,,239,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,AK-501,Alaska Balance of State CoC,Rural CoCs,668,350,195,0,545,123,366,180,122,0,302,64,302,170,73,243,59,97,56,24,80,17,,,,,,54,,,34,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,AK-501,Alaska Balance of State CoC,Rural CoCs,623,312,219,0,531,92,372,200,116,0,316,56,251,112,103,215,36,88,41,34,75,13,,,,,,139,,,116,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",Suburban CoCs,2104,465,775,0,1240,864,1529,393,440,0,833,696,575,72,335,407,168,228,31,122,153,75,,,,,,516,,,269,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",Suburban CoCs,2104,465,775,0,1240,864,1529,393,440,0,833,696,575,72,335,407,168,228,31,122,153,75,,,,,,516,,,269,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,AL-501,Mobile City & County/Baldwin County CoC,Other Urban CoCs,649,113,297,0,410,239,499,85,175,0,260,239,150,28,122,150,0,48,12,36,48,0,,,,,,84,,,10,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,AL-501,Mobile City & County/Baldwin County CoC,Other Urban CoCs,524,156,185,0,341,183,350,103,77,0,180,170,174,53,108,161,13,62,18,39,57,5,,,,,,73,,,34,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,AL-502,Florence/Northwest Alabama CoC,Rural CoCs,265,13,118,0,131,134,143,10,83,0,93,50,122,3,35,38,84,38,1,9,10,28,,,,,,8,,,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,AL-503,Huntsville/North Alabama CoC,Other Urban CoCs,830,336,420,0,756,74,761,336,351,0,687,74,69,0,69,69,0,25,0,25,25,0,,,,,,215,,,144,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,AL-504,Montgomery City & County CoC,Other Urban CoCs,456,107,224,0,331,125,392,99,171,0,270,122,64,8,53,61,3,25,3,21,24,1,,,,,,108,,,39,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,AL-505,Gadsden/Northeast Alabama CoC,Rural CoCs,119,93,11,0,104,15,103,79,11,0,90,13,16,14,0,14,2,6,5,0,5,1,,,,,,4,,,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,AL-506,Tuscaloosa City & County CoC,Other Urban CoCs,345,39,293,0,332,13,294,36,249,0,285,9,51,3,44,47,4,10,1,8,9,1,,,,,,15,,,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,AL-507,Alabama Balance of State CoC,Rural CoCs,684,286,206,0,492,192,463,172,133,0,305,158,221,114,73,187,34,86,43,30,73,13,,,,,,43,,,6,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,AR-500,Little Rock/Central Arkansas CoC,Other Urban CoCs,1822,649,538,0,1187,635,1632,605,404,0,1009,623,190,44,134,178,12,61,15,43,58,3,,,,,,491,,,300,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
