year,coc_number,coc_number_and_name,pprn,estimated_ard,bonus,coc_planning,State,coc_name,coc_category,pit_overall_homeless,pit_sheltered_es_homeless,pit_sheltered_th_homeless,pit_sheltered_sh_homeless,pit_sheltered_total_homeless,pit_unsheltered_homeless,pit_homeless_individuals,pit_sheltered_es_homeless_individuals,pit_sheltered_th_homeless_individuals,pit_sheltered_sh_homeless_individuals,pit_sheltered_total_homeless_individuals,pit_unsheltered_homeless_individuals,pit_homeless_people_in_families,pit_sheltered_es_homeless_people_in_families,pit_sheltered_th_homeless_people_in_families,pit_sheltered_total_homeless_people_in_families,pit_unsheltered_homeless_people_in_families,pit_homeless_family_households,pit_sheltered_es_homeless_family_households,pit_sheltered_th_homeless_family_households,pit_sheltered_total_homeless_family_households,pit_unsheltered_homeless_family_households,pit_chronically_homeless,pit_sheltered_es_chronically_homeless,pit_sheltered_sh_chronically_homeless,pit_sheltered_total_chronically_homeless,pit_unsheltered_chronically_homeless,pit_chronically_homeless_individuals,pit_sheltered_es_chronically_homeless_individuals,pit_sheltered_sh_chronically_homeless_individuals,pit_sheltered_total_chronically_homeless_individuals,pit_unsheltered_chronically_homeless_individuals,pit_chronically_homeless_people_in_families,pit_sheltered_es_chronically_homeless_people_in_families,pit_sheltered_total_chronically_homeless_people_in_families,pit_unsheltered_chronically_homeless_people_in_families,pit_homeless_veterans,pit_sheltered_es_homeless_veterans,pit_sheltered_th_homeless_veterans,pit_sheltered_sh_homeless_veterans,pit_sheltered_total_homeless_veterans,pit_unsheltered_homeless_veterans,pit_homeless_unaccompanied_youth_under_25,pit_sheltered_es_homeless_unaccompanied_youth_under_25,pit_sheltered_th_homeless_unaccompanied_youth_under_25,pit_sheltered_sh_homeless_unaccompanied_youth_under_25,pit_sheltered_total_homeless_unaccompanied_youth_under_25,pit_unsheltered_homeless_unaccompanied_youth_under_25,pit_homeless_unaccompanied_youth_under_18,pit_sheltered_es_homeless_unaccompanied_youth_under_18,pit_sheltered_th_homeless_unaccompanied_youth_under_18,pit_sheltered_sh_homeless_unaccompanied_youth_under_18,pit_sheltered_total_homeless_unaccompanied_youth_under_18,pit_unsheltered_homeless_unaccompanied_youth_under_18,pit_homeless_unaccompanied_youth_age_18_to_24,pit_sheltered_es_homeless_unaccompanied_youth_age_18_to_24,pit_sheltered_th_homeless_unaccompanied_youth_age_18_to_24,pit_sheltered_sh_homeless_unaccompanied_youth_age_18_to_24,pit_sheltered_total_homeless_unaccompanied_youth_age_18_to_24,pit_unsheltered_homeless_unaccompanied_youth_age_18_to_24,pit_homeless_parenting_youth_under_25,pit_sheltered_es_homeless_parenting_youth_under_25,pit_sheltered_th_homeless_parenting_youth_under_25,pit_sheltered_total_homeless_parenting_youth_under_25,pit_unsheltered_homeless_parenting_youth_under_25,pit_homeless_parenting_youth_under_18,pit_sheltered_es_homeless_parenting_youth_under_18,pit_sheltered_th_homeless_parenting_youth_under_18,pit_sheltered_total_homeless_parenting_youth_under_18,pit_unsheltered_homeless_parenting_youth_under_18,pit_homeless_parenting_youth_age_18_to_24,pit_sheltered_es_homeless_parenting_youth_age_18_to_24,pit_sheltered_th_homeless_parenting_youth_age_18_to_24,pit_sheltered_total_homeless_parenting_youth_age_18_to_24,pit_unsheltered_homeless_parenting_youth_age_18_to_24,pit_homeless_children_of_parenting_youth,pit_sheltered_es_homeless_children_of_parenting_youth,pit_sheltered_th_homeless_children_of_parenting_youth,pit_sheltered_total_homeless_children_of_parenting_youth,pit_unsheltered_homeless_children_of_parenting_youth
2018,AK-500,AK-500-ANCHORAGE,1293735,2847097,170826,85413,AK,Anchorage CoC,Other Urban CoCs,1094,751,249,0,1000,94,814,618,102,0,720,94,280,133,147,280,0,87,39,48,87,0,177.0,150.0,0.0,150.0,27.0,163,136.0,0.0,136,27,14.0,14.0,14.0,0.0,62.0,50.0,8.0,0.0,58.0,4.0,97.0,55.0,39.0,0.0,94.0,3.0,5.0,5.0,0.0,0.0,5.0,0.0,92.0,50.0,39.0,0.0,89.0,3.0,15.0,6.0,9.0,15.0,0.0,1.0,0.0,1.0,1.0,0.0,14.0,6.0,8.0,14.0,0.0,14.0,5.0,9.0,14.0,0.0
2018,AK-501,AK-501-ALASKA BALANCE OF STATE,756772,776502,46590,23295,AK,Alaska Balance of State CoC,Rural CoCs,922,497,210,0,707,215,620,335,118,0,453,167,302,162,92,254,48,106,61,27,88,18,180.0,125.0,0.0,125.0,55.0,160,107.0,0.0,107,53,20.0,18.0,18.0,2.0,70.0,37.0,15.0,0.0,52.0,18.0,66.0,31.0,25.0,0.0,56.0,10.0,3.0,3.0,0.0,0.0,3.0,0.0,63.0,28.0,25.0,0.0,53.0,10.0,11.0,8.0,1.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,1.0,9.0,2.0,12.0,9.0,1.0,10.0,2.0
2018,AL-500,"AL-500-BIRMINGHAM,JEFFERSON,ST.CLAIR,SHELBY COUNTIES",6505662,9109238,546554,273277,AL,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",Suburban CoCs,901,431,219,32,682,219,720,322,147,32,501,219,181,109,72,181,0,54,28,26,54,0,119.0,82.0,13.0,95.0,24.0,114,77.0,13.0,90,24,5.0,5.0,5.0,0.0,133.0,86.0,30.0,0.0,116.0,17.0,26.0,14.0,7.0,0.0,21.0,5.0,4.0,4.0,0.0,0.0,4.0,0.0,22.0,10.0,7.0,0.0,17.0,5.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,3.0,0.0,7.0,1.0,6.0,7.0,0.0
2018,AL-501,"AL-501-MOBILE CITY & COUNTY,BALDWIN COUNTY",3230092,3741586,224495,112248,AL,Mobile City & County/Baldwin County CoC,Other Urban CoCs,551,225,93,0,318,233,399,143,40,0,183,216,152,82,53,135,17,48,26,16,42,6,59.0,11.0,0.0,11.0,48.0,59,11.0,0.0,11,48,0.0,0.0,0.0,0.0,52.0,8.0,34.0,0.0,42.0,10.0,16.0,8.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,8.0,0.0,0.0,8.0,8.0,9.0,4.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,1.0,5.0,4.0,12.0,8.0,1.0,9.0,3.0
2018,AL-502,"AL-502-FLORENCE,NORTHWEST ALABAMA",629035,447309,37742,18871,AL,Florence/Northwest Alabama CoC,Rural CoCs,256,128,106,0,234,22,166,63,81,0,144,22,90,65,25,90,0,41,29,12,41,0,136.0,122.0,0.0,122.0,14.0,77,63.0,0.0,63,14,59.0,59.0,59.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,17.0,0.0,16.0,0.0,16.0,1.0,16.0,0.0,16.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,AL-503,"AL-503-HUNTSVILLE,NORTH ALABAMA",918363,650007,55102,27551,AL,Huntsville/North Alabama CoC,Other Urban CoCs,424,283,25,0,308,116,336,223,7,0,230,106,88,60,18,78,10,30,20,7,27,3,111.0,57.0,0.0,57.0,54.0,107,57.0,0.0,57,50,4.0,0.0,0.0,4.0,34.0,21.0,0.0,0.0,21.0,13.0,24.0,16.0,5.0,0.0,21.0,3.0,5.0,5.0,0.0,0.0,5.0,0.0,19.0,11.0,5.0,0.0,16.0,3.0,5.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,5.0,0.0,6.0,3.0,3.0,6.0,0.0
2018,AL-504,AL-504-MONTGOMERY CITY & COUNTY,1584359,1970964,118258,59129,AL,Montgomery City & County CoC,Other Urban CoCs,369,173,127,0,300,69,272,146,57,0,203,69,97,27,70,97,0,28,8,20,28,0,63.0,41.0,0.0,41.0,22.0,63,41.0,0.0,41,22,0.0,0.0,0.0,0.0,54.0,43.0,5.0,0.0,48.0,6.0,21.0,14.0,5.0,0.0,19.0,2.0,9.0,8.0,1.0,0.0,9.0,0.0,12.0,6.0,4.0,0.0,10.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,3.0,0.0,3.0,3.0,0.0
2018,AL-506,AL-506-TUSCALOOSA CITY & COUNTY,400157,199627,24009,12005,AL,Tuscaloosa City & County CoC,Other Urban CoCs,57,35,21,0,56,1,35,24,10,0,34,1,22,11,11,22,0,8,4,4,8,0,4.0,4.0,0.0,4.0,0.0,4,4.0,0.0,4,0,0.0,0.0,0.0,0.0,10.0,1.0,9.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
2018,AL-507,AL-507-ALABAMA BALANCE OF STATE,3952178,1104980,237131,118565,AL,Alabama Balance of State CoC,Rural CoCs,730,170,270,0,440,290,523,89,250,0,339,184,207,81,20,101,106,63,30,5,35,28,13.0,4.0,0.0,4.0,9.0,13,4.0,0.0,4,9,0.0,0.0,0.0,0.0,40.0,6.0,19.0,0.0,25.0,15.0,41.0,12.0,5.0,0.0,17.0,24.0,2.0,0.0,1.0,0.0,1.0,1.0,39.0,12.0,4.0,0.0,16.0,23.0,7.0,3.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,3.0,4.0,7.0,3.0,0.0,3.0,4.0
2018,AR-500,"AR-500-LITTLE ROCK,CENTRAL ARKANSAS",1722097,3107871,186472,93236,AR,Little Rock/Central Arkansas CoC,Other Urban CoCs,1081,335,196,0,531,550,950,274,158,0,432,518,131,61,38,99,32,47,21,14,35,12,232.0,82.0,0.0,82.0,150.0,222,82.0,0.0,82,140,10.0,0.0,0.0,10.0,124.0,40.0,30.0,0.0,70.0,54.0,74.0,0.0,36.0,0.0,36.0,38.0,14.0,0.0,12.0,0.0,12.0,2.0,60.0,0.0,24.0,0.0,24.0,36.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
2018,AR-501,"AR-501-FAYETTEVILLE,NORTHWEST ARKANSAS",1106218,345423,66373,33187,AR,Fayetteville/Northwest Arkansas CoC,Other Urban CoCs,474,107,216,0,323,151,348,70,127,0,197,151,126,37,89,126,0,42,12,30,42,0,42.0,9.0,0.0,9.0,33.0,42,9.0,0.0,9,33,0.0,0.0,0.0,0.0,60.0,11.0,29.0,0.0,40.0,20.0,51.0,13.0,32.0,0.0,45.0,6.0,22.0,6.0,15.0,0.0,21.0,1.0,29.0,7.0,17.0,0.0,24.0,5.0,4.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,4.0,0.0,5.0,4.0,1.0,5.0,0.0
