coc_number,coc_category
AK-500,Other Urban CoCs
AK-501,Rural CoCs
AL-500,Suburban CoCs
AL-501,Other Urban CoCs
AL-502,Rural CoCs
AL-503,Other Urban CoCs
AL-504,Other Urban CoCs
AL-505,Rural CoCs
AL-506,Other Urban CoCs
AL-507,Rural CoCs
AR-500,Other Urban CoCs
AR-501,Other Urban CoCs
AR-503,Rural CoCs
AR-504,Rural CoCs
AR-505,Rural CoCs
AR-508,Rural CoCs
AZ-500,Rural CoCs
AZ-501,Major Cities
AZ-502,Major Cities
CA-500,Major Cities
CA-501,Major Cities
CA-502,Major Cities
CA-503,Major Cities
CA-504,Suburban CoCs
CA-505,Suburban CoCs
CA-506,Rural CoCs
CA-507,Suburban CoCs
CA-508,Suburban CoCs
CA-509,Rural CoCs
CA-510,Suburban CoCs
CA-511,Other Urban CoCs
CA-512,Suburban CoCs
CA-513,Other Urban CoCs
CA-514,Major Cities
CA-515,Suburban CoCs
CA-516,Rural CoCs
CA-517,Other Urban CoCs
CA-518,Other Urban CoCs
CA-519,Rural CoCs
CA-520,Suburban CoCs
CA-521,Suburban CoCs
CA-522,Rural CoCs
CA-523,Rural CoCs
CA-524,Suburban CoCs
CA-525,Suburban CoCs
CA-526,Rural CoCs
CA-527,Rural CoCs
CA-529,Rural CoCs
CA-530,Rural CoCs
CA-600,Major Cities
CA-601,Major Cities
CA-602,Suburban CoCs
CA-603,Suburban CoCs
CA-604,Other Urban CoCs
CA-606,Major Cities
CA-607,Other Urban CoCs
CA-608,Suburban CoCs
CA-609,Suburban CoCs
CA-611,Other Urban CoCs
CA-612,Other Urban CoCs
CA-613,Suburban CoCs
CA-614,Suburban CoCs
CO-500,Rural CoCs
CO-503,Major Cities
CO-504,Major Cities
CT-503,Other Urban CoCs
CT-505,Suburban CoCs
DC-500,Major Cities
DE-500,Suburban CoCs
FL-500,Suburban CoCs
FL-501,Suburban CoCs
FL-502,Suburban CoCs
FL-503,Suburban CoCs
FL-504,Suburban CoCs
FL-505,Suburban CoCs
FL-506,Other Urban CoCs
FL-507,Suburban CoCs
FL-508,Rural CoCs
FL-509,Suburban CoCs
FL-510,Major Cities
FL-511,Suburban CoCs
FL-512,Suburban CoCs
FL-513,Suburban CoCs
FL-514,Suburban CoCs
FL-515,Rural CoCs
FL-517,Rural CoCs
FL-518,Rural CoCs
FL-519,Suburban CoCs
FL-520,Suburban CoCs
FL-600,Major Cities
FL-601,Suburban CoCs
FL-602,Suburban CoCs
FL-603,Suburban CoCs
FL-604,Rural CoCs
FL-605,Suburban CoCs
FL-606,Suburban CoCs
GA-500,Major Cities
GA-501,Rural CoCs
GA-502,Suburban CoCs
GA-503,Other Urban CoCs
GA-504,Other Urban CoCs
GA-505,Other Urban CoCs
GA-506,Suburban CoCs
GA-507,Other Urban CoCs
GA-508,Suburban CoCs
GU-500,Rural CoCs
HI-500,Rural CoCs
HI-501,Suburban CoCs
IA-500,Other Urban CoCs
IA-501,Rural CoCs
IA-502,Other Urban CoCs
ID-500,Other Urban CoCs
ID-501,Rural CoCs
IL-500,Suburban CoCs
IL-501,Suburban CoCs
