year,coc_number,coc_name
2007,AK-500,Anchorage
2007,AK-501,Alaska Balance of State
2007,AL-500,"Birmingham,Jefferson, St. Clair, Shelby Counties"
2007,AL-501,"Mobile City & County,Baldwin County"
2007,AL-502,"Florence,Northwest Alabama"
2007,AL-503,"Huntsville,North Alabama"
2007,AL-504,Montgomery City & County
2007,AL-505,"Gadsden,Northeast Alabama"
2007,AL-506,Tuscaloosa City & County
2007,AL-507,Alabama Balance of State
2007,AR-500,"Little Rock,Central Arkansas"
2007,AR-501,"Fayetteville,Northwest Arkansas"
2007,AR-502,"Conway,Arkansas River Valley"
2007,AR-504,Delta Hills
2007,AR-505,Southeast Arkansas
2007,AR-506,"Johnson, Pope, Yell Counties"
2007,AR-508,Fort Smith
2007,AR-509,"Hot Springs,South West Arkansas"
2007,AR-510,"Hempstead, Sevier, Howard, Little River Counties"
2007,AZ-500,Arizona Balance of State
2007,AZ-501,"Tucson,Pima County"
2007,AZ-502,"Phoenix, Mesa,Maricopa County"
2007,CA-500,"San Jose,Santa Clara City & County"
2007,CA-501,San Francisco
2007,CA-502,"Oakland, Berkeley,Alameda County"
2007,CA-503,Sacramento City & County
2007,CA-504,"Santa Rosa, Petaluma,Sonoma County"
2007,CA-505,"Richmond,Contra Costa County"
2007,CA-506,"Salinas,Monterey, San Benito Counties"
2007,CA-507,Marin County
2007,CA-508,"Watsonville,Santa Cruz City & County"
2007,CA-509,Mendocino County
2007,CA-510,"Turlock, Modesto,Stanislaus County"
2007,CA-511,"Stockton,San Joaquin County"
2007,CA-512,"Daly,San Mateo County"
2007,CA-513,"Visalia,Kings, Tulare Counties"
2007,CA-514,"Fresno City & County,Madera County"
2007,CA-515,"Roseville, Rocklin,Placer, Nevada Counties"
2007,CA-516,"Redding,Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties"
2007,CA-517,Napa City & County
2007,CA-518,"Vallejo,Solano County"
2007,CA-519,"Chico, Paradise,Butte County"
2007,CA-520,Merced City & County
2007,CA-521,"Davis, Woodland,Yolo County"
2007,CA-522,Humboldt County
2007,CA-523,"Colusa, Glenn, Trinity Counties"
2007,CA-524,"Yuba City & County,Sutter County"
2007,CA-525,El Dorado County
2007,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties"
2007,CA-600,Los Angeles City & County
2007,CA-601,San Diego City and County
2007,CA-602,"Santa Ana, Anaheim,Orange County"
2007,CA-603,"Santa Maria,Santa Barbara County"
2007,CA-604,"Bakersfield,Kern County"
2007,CA-606,Long Beach
2007,CA-607,Pasadena
2007,CA-608,Riverside City & County
2007,CA-609,San Bernardino City & County
2007,CA-611,"Oxnard, San Buenaventura,Ventura County"
2007,CA-612,Glendale
2007,CA-613,Imperial County
2007,CA-614,San Luis Obispo County
2007,CO-500,Colorado Balance of State
2007,CO-503,Metropolitan Denver
2007,CO-504,"Colorado Springs,El Paso County"
2007,CT-503,"Bridgeport, Stamford, Norwalk,Fairfield County"
2007,CT-505,Connecticut Balance of State
2007,DC-500,District of Columbia
2007,DE-500,Delaware Statewide
2007,FL-500,"Sarasota, Bradenton,Manatee, Sarasota Counties"
2007,FL-501,"Tampa,Hillsborough County"
2007,FL-502,"St. Petersburg, Clearwater, Largo,Pinellas County"
2007,FL-503,"Lakeland, Winterhaven,Polk County"
2007,FL-504,"Daytona Beach, Daytona,Volusia, Flagler Counties"
2007,FL-505,"Fort Walton Beach,Okaloosa, Walton Counties"
2007,FL-506,"Tallahassee,Leon County"
2007,FL-507,"Orlando,Orange, Osceola, Seminole Counties"
2007,FL-508,"Gainesville,Alachua, Putnam Counties"
2007,FL-509,"Fort Pierce,St. Lucie, Indian River, Martin Counties"
2007,FL-510,"Jacksonville-Duval, Clay Counties"
2007,FL-511,"Pensacola,Escambia, Santa Rosa Counties"
2007,FL-512,St. Johns County
2007,FL-513,"Palm Bay, Melbourne,Brevard County"
2007,FL-514,"Ocala,Marion County"
2007,FL-515,"Panama City,Bay, Jackson Counties"
2007,FL-517,"Hendry, Hardee, Highlands Counties"
2007,FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties"
2007,FL-519,Pasco County
2007,FL-520,"Citrus, Hernando, Lake, Sumter Counties"
2007,FL-600,Miami-Dade County
2007,FL-601,"Ft Lauderdale,Broward County"
2007,FL-602,"Punta Gorda,Charlotte County"
2007,FL-603,"Ft Myers, Cape Coral,Lee County"
2007,FL-604,Monroe County
2007,FL-605,"West Palm Beach,Palm Beach County"
2007,FL-606,"Naples,Collier County"
2007,GA-500,Atlanta
2007,GA-501,Georgia Balance of State
2007,GA-503,Athens-Clarke County
2007,GA-504,Augusta-Richmond County
2007,GA-505,"Columbus-Muscogee,Russell County"
2007,GA-506,"Marietta,Cobb County"
2007,GA-507,"Savannah,Chatham County"
2007,GU-500,Guam
2007,HI-500,Hawaii Balance of State
2007,HI-501,Honolulu City and County
2007,IA-500,"Sioux City,Dakota, Woodbury Counties"
