coc_code,year,pitr_sheltered_persons_in_families,pitr_unsheltered_persons_in_families,pitr_overall_persons_in_families,pitr_sheltered_non_hispanic_persons_in_families,pitr_unsheltered_non_hispanic_persons_in_families,pitr_sheltered_hispanic_persons_in_families,pitr_unsheltered_hispanic_persons_in_families,pitr_overall_non_hispanic_persons_in_families,pitr_overall_hispanic_persons_in_families,pitr_sheltered_white_persons_in_families,pitr_unsheltered_white_persons_in_families,pitr_sheltered_black_persons_in_families,pitr_unsheltered_black_persons_in_families,pitr_sheltered_asian_pacific_islander_persons_in_families,pitr_unsheltered_asian_pacific_islander_persons_in_families,pitr_sheltered_native_american_alaskan_persons_in_families,pitr_unsheltered_native_american_alaskan_persons_in_families,pitr_sheltered_other_multi_racial_persons_in_families,pitr_unsheltered_other_multi_racial_persons_in_families,pitr_overall_white_persons_in_families,pitr_overall_black_persons_in_families,pitr_overall_asian_pacific_islander_persons_in_families,pitr_overall_native_american_alaskan_persons_in_families,pitr_overall_other_multi_racial_persons_in_families,pitr_sheltered_persons_in_households,pitr_unsheltered_persons_in_households,pitr_overall_persons_in_households,pitr_sheltered_non_hispanic_persons_in_households,pitr_unsheltered_non_hispanic_persons_in_households,pitr_overall_non_hispanic_persons_in_households,pitr_sheltered_hispanic_persons_in_households,pitr_unsheltered_hispanic_persons_in_households,pitr_overall_hispanic_persons_in_households,pitr_sheltered_white_persons_in_households,pitr_unsheltered_white_persons_in_households,pitr_overall_white_persons_in_households,pitr_sheltered_black_persons_in_households,pitr_unsheltered_black_persons_in_households,pitr_overall_black_persons_in_households,pitr_sheltered_asian_pacific_islander_persons_in_households,pitr_unsheltered_asian_pacific_islander_persons_in_households,pitr_overall_asian_pacific_islander_persons_in_households,pitr_sheltered_native_american_alaskan_persons_in_households,pitr_unsheltered_native_american_alaskan_persons_in_households,pitr_overall_native_american_alaskan_persons_in_households,pitr_sheltered_other_multi_racial_persons_in_households,pitr_unsheltered_other_multi_racial_persons_in_households,pitr_overall_other_multi_racial_persons_in_households,pitr_sheltered_persons_in_youth_families,pitr_unsheltered_persons_in_youth_families,pitr_overall_persons_in_youth_families,pitr_sheltered_persons_in_youth_households,pitr_unsheltered_persons_in_youth_households,pitr_overall_persons_in_youth_households,pitr_sheltered_non_hispanic_persons_in_youth_households,pitr_unsheltered_non_hispanic_persons_in_youth_households,pitr_overall_non_hispanic_persons_in_youth_households,pitr_sheltered_hispanic_persons_in_youth_households,pitr_unsheltered_hispanic_persons_in_youth_households,pitr_overall_hispanic_persons_in_youth_households,pitr_sheltered_white_persons_in_youth_households,pitr_unsheltered_white_persons_in_youth_households,pitr_overall_white_persons_in_youth_households,pitr_sheltered_black_persons_in_youth_households,pitr_unsheltered_black_persons_in_youth_households,pitr_overall_black_persons_in_youth_households,pitr_sheltered_asian_pacific_islander_persons_in_youth_households,pitr_unsheltered_asian_pacific_islander_persons_in_youth_households,pitr_overall_asian_pacific_islander_persons_in_youth_households,pitr_sheltered_native_american_alaskan_persons_in_youth_households,pitr_unsheltered_native_american_alaskan_persons_in_youth_households,pitr_overall_native_american_alaskan_persons_in_youth_households,pitr_sheltered_other_multi_racial_persons_in_youth_households,pitr_unsheltered_other_multi_racial_persons_in_youth_households,pitr_overall_other_multi_racial_persons_in_youth_households,pitr_sheltered_non_hispanic_persons_in_youth_families,pitr_unsheltered_non_hispanic_persons_in_youth_families,pitr_overall_non_hispanic_persons_in_youth_families,pitr_sheltered_hispanic_persons_in_youth_families,pitr_unsheltered_hispanic_persons_in_youth_families,pitr_overall_hispanic_persons_in_youth_families,pitr_sheltered_white_persons_in_youth_families,pitr_unsheltered_white_persons_in_youth_families,pitr_overall_white_persons_in_youth_families,pitr_sheltered_black_persons_in_youth_families,pitr_unsheltered_black_persons_in_youth_families,pitr_overall_black_persons_in_youth_families,pitr_sheltered_asian_pacific_islander_persons_in_youth_families,pitr_unsheltered_asian_pacific_islander_persons_in_youth_families,pitr_overall_asian_pacific_islander_persons_in_youth_families,pitr_sheltered_native_american_alaskan_persons_in_youth_families,pitr_unsheltered_native_american_alaskan_persons_in_youth_families,pitr_overall_native_american_alaskan_persons_in_youth_families,pitr_sheltered_other_multi_racial_persons_in_youth_families,pitr_unsheltered_other_multi_racial_persons_in_youth_families,pitr_overall_other_multi_racial_persons_in_youth_families,pitr_sheltered_persons_in_veteran_households,pitr_unsheltered_persons_in_veteran_households,pitr_overall_persons_in_veteran_households,pitr_sheltered_non_hispanic_persons_in_veteran_households,pitr_unsheltered_non_hispanic_persons_in_veteran_households,pitr_overall_non_hispanic_persons_in_veteran_households,pitr_sheltered_hispanic_persons_in_veteran_households,pitr_unsheltered_hispanic_persons_in_veteran_households,pitr_overall_hispanic_persons_in_veteran_households,pitr_sheltered_white_persons_in_veteran_households,pitr_unsheltered_white_persons_in_veteran_households,pitr_overall_white_persons_in_veteran_households,pitr_sheltered_black_persons_in_veteran_households,pitr_unsheltered_black_persons_in_veteran_households,pitr_overall_black_persons_in_veteran_households,pitr_sheltered_asian_pacific_islander_persons_in_veteran_households,pitr_unsheltered_asian_pacific_islander_persons_in_veteran_households,pitr_overall_asian_pacific_islander_persons_in_veteran_households,pitr_sheltered_native_american_alaskan_persons_in_veteran_households,pitr_unsheltered_native_american_alaskan_persons_in_veteran_households,pitr_overall_native_american_alaskan_persons_in_veteran_households,pitr_sheltered_other_multi_racial_persons_in_veteran_households,pitr_unsheltered_other_multi_racial_persons_in_veteran_households,pitr_overall_other_multi_racial_persons_in_veteran_households
AK-500,2017,280,0,280,244,0,36,0,244,36,42,0,46,0,44,0,84,0,64,0,42,46,44,84,64,973,155,1128,899,152,1051,74,3,77,307,44,351,108,15,123,66,1,67,387,81,468,105,14,119,12,0,12,113,14,127,101,13,114,12,1,13,28,3,31,14,1,15,3,0,3,53,9,62,15,1,16,10,0,10,2,0,2,1,0,1,2,0,2,1,0,1,4,0,4,4,0,4,57,12,69,52,12,64,5,0,5,30,2,32,5,0,5,0,0,0,20,8,28,2,2,4
AK-501,2017,211,0,211,201,0,10,0,201,10,61,0,3,0,8,0,117,0,22,0,61,3,8,117,22,578,139,717,556,136,692,22,3,25,227,63,290,24,0,24,21,1,22,243,59,302,63,16,79,10,0,10,51,6,57,49,6,55,2,0,2,17,4,21,2,0,2,3,0,3,20,2,22,9,0,9,10,0,10,0,0,0,3,0,3,0,0,0,2,0,2,5,0,5,0,0,0,38,17,55,38,17,55,0,0,0,19,4,23,6,0,6,0,1,1,10,9,19,3,3,6
AL-500,2017,160,0,160,156,0,4,0,156,4,65,0,93,0,0,0,0,0,2,0,65,93,0,0,2,875,217,1092,861,214,1075,14,3,17,262,68,330,582,144,726,2,0,2,10,0,10,19,5,24,8,0,8,88,45,133,88,45,133,0,0,0,35,17,52,52,27,79,0,0,0,0,0,0,1,1,2,8,0,8,0,0,0,2,0,2,6,0,6,0,0,0,0,0,0,0,0,0,29,11,40,29,10,39,0,1,1,18,7,25,11,4,15,0,0,0,0,0,0,0,0,0
AL-501,2017,162,18,180,154,18,8,0,172,8,71,8,90,10,0,0,1,0,0,0,79,100,0,1,0,341,265,606,331,257,588,10,8,18,146,127,273,185,129,314,3,1,4,3,3,6,4,5,9,12,0,12,21,9,30,21,9,30,0,0,0,8,3,11,13,5,18,0,0,0,0,0,0,0,1,1,12,0,12,0,0,0,2,0,2,10,0,10,0,0,0,0,0,0,0,0,0,50,26,76,49,25,74,1,1,2,28,15,43,22,10,32,0,0,0,0,1,1,0,0,0
AL-502,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,22,155,130,22,152,3,0,3,92,20,112,5,2,7,0,0,0,0,0,0,36,0,36,0,0,0,7,1,8,7,1,8,0,0,0,3,1,4,3,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,11,3,8,11,0,0,0,3,6,9,0,2,2,0,0,0,0,0,0,0,0,0
AL-503,2017,107,2,109,103,2,4,0,105,4,34,0,56,2,0,0,0,0,17,0,34,58,0,0,17,337,99,436,326,96,422,11,3,14,172,61,233,143,31,174,1,0,1,1,1,2,20,6,26,2,0,2,27,5,32,24,5,29,3,0,3,13,0,13,13,5,18,0,0,0,0,0,0,1,0,1,2,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,23,4,27,22,4,26,1,0,1,13,4,17,10,0,10,0,0,0,0,0,0,0,0,0
AL-504,2017,89,4,93,89,4,0,0,93,0,2,0,87,4,0,0,0,0,0,0,2,91,0,0,0,314,63,377,307,63,370,7,0,7,59,11,70,250,52,302,0,0,0,0,0,0,5,0,5,4,0,4,27,0,27,25,0,25,2,0,2,3,0,3,24,0,24,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,53,2,55,53,2,55,0,0,0,11,0,11,40,2,42,0,0,0,0,0,0,2,0,2
AL-505,2017,33,0,33,33,0,0,0,33,0,24,0,9,0,0,0,0,0,0,0,24,9,0,0,0,103,60,163,103,60,163,0,0,0,76,44,120,27,10,37,0,0,0,0,1,1,0,5,5,0,0,0,18,2,20,18,2,20,0,0,0,13,2,15,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,1,3,4,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0
AL-506,2017,60,0,60,56,0,4,0,56,4,5,0,55,0,0,0,0,0,0,0,5,55,0,0,0,137,63,200,130,62,192,7,1,8,37,31,68,98,32,130,0,0,0,0,0,0,2,0,2,0,0,0,3,28,31,3,28,31,0,0,0,0,9,9,3,19,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,7,41,33,7,40,1,0,1,8,2,10,26,5,31,0,0,0,0,0,0,0,0,0
AL-507,2017,95,78,173,93,78,2,0,171,2,69,22,24,56,0,0,0,0,2,0,91,80,0,0,2,416,348,764,413,346,759,3,2,5,251,130,381,158,216,374,3,0,3,0,2,2,4,0,4,0,3,3,17,25,42,17,25,42,0,0,0,12,9,21,4,16,20,0,0,0,0,0,0,1,0,1,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,9,6,15,9,6,15,0,0,0,7,2,9,2,4,6,0,0,0,0,0,0,0,0,0
AR-500,2017,82,32,114,81,32,1,0,113,1,22,16,46,14,0,0,2,0,12,2,38,60,0,2,14,456,550,1006,442,537,979,14,13,27,200,211,411,225,312,537,1,1,2,7,5,12,23,21,44,2,0,2,39,38,77,34,38,72,5,0,5,20,14,34,17,20,37,0,0,0,0,0,0,2,4,6,2,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,67,54,121,66,53,119,1,1,2,23,15,38,40,36,76,0,1,1,2,0,2,2,2,4
