cocnumber,coc_name,coc_state,rhy_program_type,rhy_authorized_representative_title,rhy_authorized_representative_zipcode
AK-500,Anchorage CoC,AK,TLP,CEO,99501-3533
AK-500,Anchorage CoC,AK,BCP,PRESIDENT/CEO,99501-3533
AK-501,Alaska Balance of State CoC,AK,BCP,N/A,99701-4510
AK-501,Alaska Balance of State CoC,AK,TLP,EXECUTIVE DIRECTOR,99801-8095
AK-501,Alaska Balance of State CoC,AK,BCP,EXECUTIVE DIRECTOR,99801-8095
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",AL,TLP,EXECUTIVE DIRECTOR,35205-3921
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",AL,BCP,PRESIDENT & CEO,35007-4749
AL-503,Huntsville/North Alabama CoC,AL,BCP,PRESIDENT AND CEO,35601-0000
AL-503,Huntsville/North Alabama CoC,AL,BCP,EXECUTIVE DIRECTOR,35601-0000
AL-507,Alabama Balance of State CoC,AL,TLP,STREET OUTREACH DIRECTOR,35976-1130
AR-500,Little Rock/Central Arkansas CoC,AR,TLP,EXECUTIVE DIRECTOR,72204-7764
AR-501,Fayetteville/Northwest Arkansas CoC,AR,TLP,EXECUTIVE DIRECTOR,72703-4591
AR-501,Fayetteville/Northwest Arkansas CoC,AR,BCP,EXECUTIVE DIRECTOR,72703-4591
AR-503,Arkansas Balance of State CoC,AR,BCP,N/A,72404-9384
AZ-500,Arizona Balance of State CoC,AZ,BCP,EXECUTIVE DIRECTOR,86004-3900
AZ-501,Tucson/Pima County CoC,AZ,BCP,CHIEF EXECUTIVE OFFICER/PRESIDENT,85653-8579
AZ-501,Tucson/Pima County CoC,AZ,TLP,PRESIDENT & CHIEF EXECUTIVE OFFICER,85719-2378
AZ-501,Tucson/Pima County CoC,AZ,BCP,EXECUTIVE DIRECTOR,85719-2378
AZ-501,Tucson/Pima County CoC,AZ,TLP,CEO,85712-2402
AZ-501,Tucson/Pima County CoC,AZ,TLP,CEO,85712-2402
AZ-501,Tucson/Pima County CoC,AZ,BCP,CHAIRMAN OF THE BOARD,85712-2402
AZ-502,"Phoenix, Mesa/Maricopa County CoC",AZ,TLP,CEO/EXECUTIVE DIRECTOR,85014-5014
AZ-502,"Phoenix, Mesa/Maricopa County CoC",AZ,BCP,PRESIDENT AND CHIEF EXECUTIVE OFFICER,85014-5014
CA-500,"San Jose, Santa Clara City & County CoC",CA,TLP,EXECUTIVE DIRECTOR,95050-4333
CA-500,"San Jose, Santa Clara City & County CoC",CA,BCP,EXECUTIVE DIRECTOR,95050-4333
CA-500,"San Jose, Santa Clara City & County CoC",CA,BCP,EXECUTIVE DIRECTOR,95050-4333
CA-501,San Francisco CoC,CA,BCP,N/A,94118-3324
CA-501,San Francisco CoC,CA,BCP,CEO,94102-3810
CA-501,San Francisco CoC,CA,BCP,ASSISTANT SECRETARY-LEGAL,94102-3810
CA-502,"Oakland, Berkeley/Alameda County CoC",CA,BCP,EXECUTIVE DIRECTOR,94501-0000
CA-503,Sacramento City & County CoC,CA,BCP,PRESIDENT AND CHIEF EXECUTIVE OFFICER,95811-3023
CA-503,Sacramento City & County CoC,CA,TLP,EXECUTIVE DIRECTOR,95816-4923
CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",CA,BCP,EXECUTIVE DIRECTOR,95403-2065
CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",CA,BCP,DIRECTOR OF DEVELOPMENT & MARKETING,95403-2065
CA-505,Richmond/Contra Costa County CoC,CA,BCP,N/A,94553-3156
CA-505,Richmond/Contra Costa County CoC,CA,BCP,DEVELOPMENT DIRECTOR,94553-1968
CA-506,"Salinas/Monterey, San Benito Counties CoC",CA,BCP,EXECUTIVE DIRECTOR,93940-5338
CA-506,"Salinas/Monterey, San Benito Counties CoC",CA,BCP,EXECUTIVE DIRECTOR,93940-5338
CA-509,Mendocino County CoC,CA,BCP,BOARD TREASURER,95482-5858
CA-509,Mendocino County CoC,CA,TLP,EXECUTIVE DIRECTOR,95482-5348
CA-509,Mendocino County CoC,CA,BCP,CHIEF EXECUTIVE OFFICER,95482-5348
CA-510,"Turlock, Modesto/Stanislaus County CoC",CA,TLP,EXECUTIVE DIRECTOR,95350-3839
CA-510,"Turlock, Modesto/Stanislaus County CoC",CA,BCP,EXECUTIVE DIRECTOR,95350-3839
CA-511,Stockton/San Joaquin County CoC,CA,TLP,N/A,95202-2030
CA-511,Stockton/San Joaquin County CoC,CA,BCP,CEO,95202-2030
CA-512,Daly City/San Mateo County CoC,CA,BCP,EXECUTIVE DIRECTOR,94070-3070
CA-514,Fresno City & County/Madera County CoC,CA,BCP,N/A,93721-2504
CA-518,Vallejo/Solano County CoC,CA,TLP,CHIEF EXECUTIVE OFFICER AND EXECUTIVE DIRECTOR,94533-1839
CA-519,"Chico, Paradise/Butte County CoC",CA,BCP,TREASURER BOARD OF DIRECTORS,95969-3280
CA-522,Humboldt County CoC,CA,TLP,EXECUTIVE DIRECTOR,95501-1829
CA-522,Humboldt County CoC,CA,BCP,EXECUTIVE DIRECTOR,95501-1829
CA-522,Humboldt County CoC,CA,BCP,EXECUTIVE DIRECTOR,95501-1829
CA-525,El Dorado County CoC,CA,BCP,EXECUTIVE DIRECTOR,95667-8984
CA-525,El Dorado County CoC,CA,BCP,EXECUTIVE DIRECTOR,96150-8136
CA-525,El Dorado County CoC,CA,BCP,N/A,96150-8136
CA-525,El Dorado County CoC,CA,BCP,EXECUTIVE DIRECTOR,96150-8136
CA-525,El Dorado County CoC,CA,BCP,PRESIDENT & CEO,96150-8136
CA-600,Los Angeles City & County CoC,CA,BCP,EXECUTIVE DIRECTOR,90018-1353
CA-600,Los Angeles City & County CoC,CA,TLP,CHIEF OF STAFF,90028-6213
