year,coc_name,coc_number,ahar_part_1_coc_category
2015,Anchorage,AK-500,"Smaller Cities, Counties, and Regional CoCs"
2016,Anchorage,AK-500,"Smaller Cities, Counties, and Regional CoCs"
2017,Anchorage,AK-500,"Smaller Cities, Counties, and Regional CoCs"
2015,Alaska Balance of State,AK-501,Balance of State and Statewide CoCs
2016,Alaska Balance of State,AK-501,Balance of State and Statewide CoCs
2017,Alaska Balance of State,AK-501,Balance of State and Statewide CoCs
2016,"Birmingham/Jefferson, St. Clair, Shelby Counties",AL-500,"Smaller Cities, Counties, and Regional CoCs"
2015,"Birmingham/Jefferson, St. Clair, Shelby Counties",AL-500,"Smaller Cities, Counties, and Regional CoCs"
2017,"Birmingham/Jefferson, St. Clair, Shelby Counties",AL-500,"Smaller Cities, Counties, and Regional CoCs"
2015,Mobile City & County/Baldwin County,AL-501,"Smaller Cities, Counties, and Regional CoCs"
2017,Mobile City & County/Baldwin County,AL-501,"Smaller Cities, Counties, and Regional CoCs"
2016,Mobile City & County/Baldwin County,AL-501,"Smaller Cities, Counties, and Regional CoCs"
2016,Florence/Northwest Alabama,AL-502,"Smaller Cities, Counties, and Regional CoCs"
2017,Florence/Northwest Alabama,AL-502,"Smaller Cities, Counties, and Regional CoCs"
2015,Huntsville/North Alabama,AL-503,"Smaller Cities, Counties, and Regional CoCs"
2016,Huntsville/North Alabama,AL-503,"Smaller Cities, Counties, and Regional CoCs"
2017,Huntsville/North Alabama,AL-503,"Smaller Cities, Counties, and Regional CoCs"
2015,Montgomery City & County,AL-504,"Smaller Cities, Counties, and Regional CoCs"
2017,Montgomery City & County,AL-504,"Smaller Cities, Counties, and Regional CoCs"
2016,Montgomery City & County,AL-504,"Smaller Cities, Counties, and Regional CoCs"
2015,Gadsden/Northeast Alabama,AL-505,"Smaller Cities, Counties, and Regional CoCs"
2016,Gadsden/Northeast Alabama,AL-505,"Smaller Cities, Counties, and Regional CoCs"
2016,Tuscaloosa City & County,AL-506,"Smaller Cities, Counties, and Regional CoCs"
2017,Tuscaloosa City & County,AL-506,"Smaller Cities, Counties, and Regional CoCs"
2015,Tuscaloosa City & County,AL-506,"Smaller Cities, Counties, and Regional CoCs"
2015,Alabama Balance of State,AL-507,Balance of State and Statewide CoCs
2016,Alabama Balance of State,AL-507,Balance of State and Statewide CoCs
2017,Alabama Balance of State,AL-507,Balance of State and Statewide CoCs
2016,Little Rock/Central Arkansas,AR-500,"Smaller Cities, Counties, and Regional CoCs"
2015,Little Rock/Central Arkansas,AR-500,"Smaller Cities, Counties, and Regional CoCs"
2017,Little Rock/Central Arkansas,AR-500,"Smaller Cities, Counties, and Regional CoCs"
2015,Fayetteville/Northwest Arkansas,AR-501,"Smaller Cities, Counties, and Regional CoCs"
2017,Fayetteville/Northwest Arkansas,AR-501,"Smaller Cities, Counties, and Regional CoCs"
2016,Fayetteville/Northwest Arkansas,AR-501,"Smaller Cities, Counties, and Regional CoCs"
