year,state,coc_name,coc_number,spm0_coc_award_amount,ahar_part_1_coc_category,spm0_total_non_dv_beds_on_hic_es_th,spm0_total_non_dv_hmis_beds_on_hic_es_th,spm1_es_sh_avg_days,spm1_es_sh_median_days,spm1_es_sh_th_avg_days,spm1_es_sh_th_median_days,spm2_total_persons_exited_so_es_th_sh_ph,spm2_total_persons_returns_in_6_mths,spm2_total_persons_returns_in_12_mths_should_include_the_6_month_cohort,spm2_total_persons_returns_in_24_mths_should_include_both_the_6_and_12_month_cohort,spm3_total_hmis_count,spm4s_total_stayers_persons,spm4s_total_stayers_increased_earned_income,spm4s_total_stayers_increased_non_employment_cash_income,spm4s_total_stayers_increased_total_income,spm4l_total_leavers_persons,spm4l_total_leavers_increased_earned_income,spm4l_total_leavers_increased_non_employment_cash_income,spm4l_total_leavers_increased_total_income,spm5_es_sh_th_1st_time_homeless,spm5_es_sh_th_ph_1st_time_homeless,spm7_total_persons_exiting_street_outreach_so,spm7_total_persons_exited_so_to_temporary_destinations,spm7_total_persons_exited_so_to_permanent_destinations,spm7_total_persons_exiting_es_th_sh_ph_rrh,spm7_total_persons_exiting_es_th_sh_ph_rrh_to_permanent_housing,spm7_total_persons_exiting_ph_or_remaining_in_ph_at_end_of_reporting_period_measure_excludes_ph_rrh,spm7_total_persons_exited_ph_to_permanent_destinations_or_remained_in_ph_for_6_mos_measure_excludes_ph_rrh
2017,AK,Anchorage CoC,AK-500,2847097,"Smaller Cities, Counties, and Regional CoCs",950,829,43,18,65,24,998,131,171,236,5236,76,5,54,56,106,8,33,37,2985,3153,247,76,21,4546,634,480,419
2017,AK,Alaska Balance of State CoC,AK-501,776502,Balance of State and Statewide CoCs,534,478,45,14,67,21,272,13,24,34,2453,70,1,9,9,38,5,17,20,1627,2067,208,1,9,2483,941,224,181
2017,AL,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",AL-500,9109238,"Smaller Cities, Counties, and Regional CoCs",912,725,47,15,67,17,736,205,303,392,4150,564,44,122,161,294,50,38,82,2571,2938,504,118,21,3901,900,1360,1281
2017,AL,Mobile City & County/Baldwin County CoC,AL-501,3744586,"Smaller Cities, Counties, and Regional CoCs",438,336,31,10,47,13,220,25,44,50,2294,127,1,60,61,93,9,27,35,1541,1764,96,20,22,2150,324,197,188
2017,AL,Florence/Northwest Alabama CoC,AL-502,447309,"Smaller Cities, Counties, and Regional CoCs",157,0,0,0,0,0,0,0,0,0,0,91,1,1,2,106,7,0,7,0,13,0,0,0,83,68,0,0
2017,AL,Huntsville/North Alabama CoC,AL-503,650007,"Smaller Cities, Counties, and Regional CoCs",432,104,107,27,115,32,260,12,17,27,356,40,0,1,1,27,0,10,10,269,368,58,6,25,380,306,104,94
2017,AL,Montgomery City & County CoC,AL-504,1970964,"Smaller Cities, Counties, and Regional CoCs",329,314,79,34,97,39,469,51,72,98,1429,49,0,10,10,16,1,3,4,967,1058,5,1,0,1258,358,223,210
2017,AL,Tuscaloosa City & County CoC,AL-506,211879,"Smaller Cities, Counties, and Regional CoCs",138,93,216,207,248,216,213,7,15,23,375,5,0,0,0,0,0,0,0,234,386,0,0,0,170,105,214,211
2017,AL,Alabama Balance of State CoC,AL-507,1104980,Balance of State and Statewide CoCs,373,29,0,0,310,209,8,2,2,4,75,42,0,3,3,37,4,6,9,41,254,145,10,102,2,0,135,127
2017,AR,Little Rock/Central Arkansas CoC,AR-500,3107871,"Smaller Cities, Counties, and Regional CoCs",533,325,44,28,71,35,766,47,74,130,1545,321,5,25,29,124,65,18,81,1167,1395,0,0,0,1573,784,622,604
