year,state,coc_name,coc_number,spm2_total_persons_exited_so_es_th_sh_ph,spm2_total_persons_returns_in_6_mths,spm2_total_persons_returns_in_12_mths_should_include_the_6_month_cohort,spm2_total_persons_returns_in_24_mths_should_include_both_the_6_and_12_month_cohort
2017,AK,Anchorage CoC,AK-500,998,131,171,236
2017,AK,Alaska Balance of State CoC,AK-501,272,13,24,34
2017,AL,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",AL-500,736,205,303,392
2017,AL,Mobile City & County/Baldwin County CoC,AL-501,220,25,44,50
2017,AL,Florence/Northwest Alabama CoC,AL-502,0,0,0,0
2017,AL,Huntsville/North Alabama CoC,AL-503,260,12,17,27
2017,AL,Montgomery City & County CoC,AL-504,469,51,72,98
2017,AL,Tuscaloosa City & County CoC,AL-506,213,7,15,23
2017,AL,Alabama Balance of State CoC,AL-507,8,2,2,4
2017,AR,Little Rock/Central Arkansas CoC,AR-500,766,47,74,130
2017,AR,Fayetteville/Northwest Arkansas CoC,AR-501,124,10,10,16
2017,AR,Arkansas  Balance of State  CoC,AR-503,317,28,35,55
2017,AR,Southeast Arkansas CoC,AR-505,80,12,17,25
2017,AR,Fort Smith CoC,AR-508,115,8,17,21
2017,AZ,Arizona Balance of State CoC,AZ-500,1787,118,178,278
2017,AZ,Tucson/Pima County CoC,AZ-501,2442,394,531,709
2017,AZ,"Phoenix, Mesa/Maricopa County CoC",AZ-502,5657,618,989,1420
2017,CA,San Jose/Santa Clara City & County CoC,CA-500,1598,126,197,261
2017,CA,San Francisco CoC,CA-501,900,51,73,87
2017,CA,"Oakland, Berkeley/Alameda County CoC",CA-502,2321,184,290,433
2017,CA,Sacramento City & County CoC,CA-503,2982,312,456,721
2017,CA,"Santa Rosa, Petaluma/Sonoma County CoC",CA-504,930,70,128,182
2017,CA,Richmond/Contra Costa County CoC,CA-505,1120,78,115,178
2017,CA,"Salinas/Monterey, San Benito Counties CoC",CA-506,695,46,72,88
2017,CA,Marin County CoC,CA-507,341,42,65,79
2017,CA,Watsonville/Santa Cruz City & County CoC,CA-508,339,10,32,48
2017,CA,Mendocino County CoC,CA-509,107,9,10,16
2017,CA,"Turlock, Modesto/Stanislaus County CoC",CA-510,743,63,93,135
2017,CA,Stockton/San Joaquin County CoC,CA-511,910,92,141,194
2017,CA,Daly/San Mateo County CoC,CA-512,1030,82,120,160
2017,CA,"Visalia/Kings, Tulare Counties CoC",CA-513,524,49,79,116
2017,CA,Fresno City & County/Madera County CoC,CA-514,994,71,93,135
2017,CA,"Roseville, Rocklin/Placer, Nevada Counties CoC",CA-515,445,63,97,132
2017,CA,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",CA-516,1,0,0,0
2017,CA,Napa City & County CoC,CA-517,290,38,71,96
2017,CA,Vallejo/Solano County CoC,CA-518,221,17,28,33
2017,CA,"Chico, Paradise/Butte County CoC",CA-519,301,48,71,104
2017,CA,Merced City & County CoC,CA-520,48,4,7,14
2017,CA,"Davis, Woodland/Yolo County CoC",CA-521,300,26,54,61
2017,CA,Humboldt County CoC,CA-522,366,19,37,86
2017,CA,"Colusa, Glenn, Trinity Counties CoC",CA-523,0,0,0,0
2017,CA,Yuba City & County/Sutter County CoC,CA-524,82,3,3,3
2017,CA,El Dorado County CoC,CA-525,40,8,11,13
2017,CA,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",CA-526,380,12,18,34
2017,CA,Tehama County CoC,CA-527,3,0,0,0
2017,CA,"Alpine, Inyo, Mono Counties CoC",CA-530,31,3,3,3
2017,CA,Los Angeles City & County CoC,CA-600,10120,652,1036,1576
2017,CA,San Diego City and County CoC,CA-601,4962,678,964,1321
2017,CA,"Santa Ana, Anaheim/Orange County CoC",CA-602,1976,87,122,202
2017,CA,Santa Maria/Santa Barbara County CoC,CA-603,988,109,153,234
